,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2012-05-18 00:00:00-04:00,42.04999923706055,45.0,38.0,38.22999954223633,38.22999954223633,573576400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2012-05-21 00:00:00-04:00,36.529998779296875,36.65999984741211,33.0,34.029998779296875,34.029998779296875,168192700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2012-05-22 00:00:00-04:00,32.61000061035156,33.59000015258789,30.940000534057617,31.0,31.0,101786600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2012-05-23 00:00:00-04:00,31.3700008392334,32.5,31.360000610351562,32.0,32.0,73600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2012-05-24 00:00:00-04:00,32.95000076293945,33.209999084472656,31.770000457763672,33.029998779296875,33.029998779296875,50237200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2012-05-25 00:00:00-04:00,32.900001525878906,32.95000076293945,31.110000610351562,31.90999984741211,31.90999984741211,37149800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2012-05-29 00:00:00-04:00,31.479999542236328,31.690000534057617,28.649999618530273,28.84000015258789,28.84000015258789,78063400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2012-05-30 00:00:00-04:00,28.700000762939453,29.549999237060547,27.860000610351562,28.190000534057617,28.190000534057617,57267900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2012-05-31 00:00:00-04:00,28.549999237060547,29.670000076293945,26.829999923706055,29.600000381469727,29.600000381469727,111639200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2012-06-01 00:00:00-04:00,28.889999389648438,29.149999618530273,27.389999389648438,27.719999313354492,27.719999313354492,41855500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.454999732971192,0.0
10,2012-06-04 00:00:00-04:00,27.200000762939453,27.649999618530273,26.440000534057617,26.899999618530273,26.899999618530273,35230300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.626817893981933,0.0
11,2012-06-05 00:00:00-04:00,26.700000762939453,27.760000228881836,25.75,25.8700008392334,25.8700008392334,42473400,0,0,0,100,0,0,0,0,0,0,0,0,0,0,29.761942065845837,0.0
12,2012-06-06 00:00:00-04:00,26.06999969482422,27.170000076293945,25.520000457763672,26.809999465942383,26.809999465942383,61489200,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,29.225225229499753,0.0
13,2012-06-07 00:00:00-04:00,27.0,27.350000381469727,26.149999618530273,26.309999465942383,26.309999465942383,26159500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.69518418158023,0.0
14,2012-06-08 00:00:00-04:00,26.549999237060547,27.760000228881836,26.440000534057617,27.100000381469727,27.100000381469727,38034000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.40515076337832,0.0
15,2012-06-11 00:00:00-04:00,27.18000030517578,28.06999969482422,26.84000015258789,27.010000228881836,27.010000228881836,28219600,0,0,0,0,0,0,0,0,0,0,100,0,0,0,28.151487029833504,0.0
16,2012-06-12 00:00:00-04:00,27.479999542236328,27.770000457763672,26.959999084472656,27.399999618530273,27.399999618530273,15816800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.014852955051097,0.0
17,2012-06-13 00:00:00-04:00,27.65999984741211,28.100000381469727,27.100000381469727,27.270000457763672,27.270000457763672,17102800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.879425228271565,0.0
18,2012-06-14 00:00:00-04:00,27.649999618530273,28.31999969482422,27.3799991607666,28.290000915527344,28.290000915527344,16855000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.95407535322716,1.0
19,2012-06-15 00:00:00-04:00,28.510000228881836,30.100000381469727,28.350000381469727,30.010000228881836,30.010000228881836,43563800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.327879876073464,1.0
20,2012-06-18 00:00:00-04:00,29.959999084472656,32.08000183105469,29.40999984741211,31.40999984741211,31.40999984741211,42978900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.88826532540776,1.0
21,2012-06-19 00:00:00-04:00,31.540000915527344,32.18000030517578,30.700000762939453,31.90999984741211,31.90999984741211,30849000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.437671602135826,1.0
22,2012-06-20 00:00:00-04:00,31.920000076293945,31.93000030517578,31.149999618530273,31.600000381469727,31.600000381469727,15553600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.830822289287443,1.0
23,2012-06-21 00:00:00-04:00,31.670000076293945,32.5,31.510000228881836,31.84000015258789,31.84000015258789,21875300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19612735534207,1.0
24,2012-06-22 00:00:00-04:00,32.40999984741211,33.45000076293945,32.060001373291016,33.04999923706055,33.04999923706055,74834000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.71501315201816,1.0
25,2012-06-25 00:00:00-04:00,32.86000061035156,33.02000045776367,31.549999237060547,32.060001373291016,32.060001373291016,24352900,0,0,100,0,0,0,0,0,0,0,0,0,0,0,30.95955646497686,1.0
26,2012-06-26 00:00:00-04:00,32.689998626708984,33.439998626708984,32.5,33.099998474121094,33.099998474121094,24858700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.34872773936672,1.0
27,2012-06-27 00:00:00-04:00,32.459999084472656,32.900001525878906,31.899999618530273,32.22999954223633,32.22999954223633,28568000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.508958976252103,1.0
28,2012-06-28 00:00:00-04:00,31.959999084472656,32.189998626708984,30.899999618530273,31.360000610351562,31.360000610351562,17713300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.481875636997458,0.0
29,2012-06-29 00:00:00-04:00,31.920000076293945,31.989999771118164,30.760000228881836,31.100000381469727,31.100000381469727,19526900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.412443772356053,0.0
30,2012-07-02 00:00:00-04:00,31.25,31.729999542236328,30.549999237060547,30.770000457763672,30.770000457763672,14122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.295635896975618,0.0
31,2012-07-03 00:00:00-04:00,30.90999984741211,31.440000534057617,30.799999237060547,31.200000762939453,31.200000762939453,8763600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.278247690787225,0.0
32,2012-07-05 00:00:00-04:00,31.31999969482422,31.6299991607666,31.020000457763672,31.469999313354492,31.469999313354492,10032100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.313111622163092,1.0
33,2012-07-06 00:00:00-04:00,31.440000534057617,31.899999618530273,31.260000228881836,31.729999542236328,31.729999542236328,10945600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.38890942581277,1.0
34,2012-07-09 00:00:00-04:00,32.099998474121094,32.880001068115234,31.989999771118164,32.16999816894531,32.16999816894531,17785200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.530925560927777,1.0
35,2012-07-10 00:00:00-04:00,32.43000030517578,32.47999954223633,31.15999984741211,31.469999313354492,31.469999313354492,14269500,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,31.519848061368997,0.0
36,2012-07-11 00:00:00-04:00,31.479999542236328,31.559999465942383,30.549999237060547,30.969999313354492,30.969999313354492,13030300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.419875561729995,0.0
37,2012-07-12 00:00:00-04:00,30.700000762939453,31.399999618530273,30.600000381469727,30.809999465942383,30.809999465942383,11300700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.30898899885952,0.0
38,2012-07-13 00:00:00-04:00,31.040000915527344,31.06999969482422,30.559999465942383,30.719999313354492,30.719999313354492,8108300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.201899965131332,0.0
39,2012-07-16 00:00:00-04:00,30.5,30.5,28.209999084472656,28.25,28.25,24672100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.665190880561997,0.0
40,2012-07-17 00:00:00-04:00,28.479999542236328,28.59000015258789,27.149999618530273,28.09000015258789,28.09000015258789,30438600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.196974384566705,0.0
41,2012-07-18 00:00:00-04:00,28.309999465942383,29.290000915527344,28.149999618530273,29.110000610351562,29.110000610351562,16841800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.99934278925486,0.0
42,2012-07-19 00:00:00-04:00,29.40999984741211,29.5,28.6299991607666,29.0,29.0,13685100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.817644100299432,0.0
43,2012-07-20 00:00:00-04:00,29.0,29.469999313354492,28.719999313354492,28.760000228881836,28.760000228881836,11869100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.625345214587142,0.0
44,2012-07-23 00:00:00-04:00,28.1200008392334,29.0,28.010000228881836,28.75,28.75,12390700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46619153920766,0.0
45,2012-07-24 00:00:00-04:00,28.81999969482422,29.450000762939453,28.100000381469727,28.450000762939453,28.450000762939453,11539800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.28142957988617,0.0
46,2012-07-25 00:00:00-04:00,28.389999389648438,29.489999771118164,28.079999923706055,29.34000015258789,29.34000015258789,17230200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,29.292078774922846,1.0
47,2012-07-26 00:00:00-04:00,27.75,28.229999542236328,26.729999542236328,26.850000381469727,26.850000381469727,64597400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.848064521567732,0.0
48,2012-07-27 00:00:00-04:00,23.190000534057617,24.540000915527344,22.280000686645508,23.709999084472656,23.709999084472656,123102300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.913870805732262,0.0
49,2012-07-30 00:00:00-04:00,24.0,24.040000915527344,23.030000686645508,23.149999618530273,23.149999618530273,29285900,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,27.047712408059173,0.0
50,2012-07-31 00:00:00-04:00,23.3700008392334,23.3700008392334,21.610000610351562,21.709999084472656,21.709999084472656,56179400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.07721907649799,0.0
51,2012-08-01 00:00:00-04:00,21.5,21.579999923706055,20.84000015258789,20.8799991607666,20.8799991607666,44604400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.132270000910463,0.0
52,2012-08-02 00:00:00-04:00,20.770000457763672,20.84000015258789,19.81999969482422,20.040000915527344,20.040000915527344,56374500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.20640289447717,0.0
53,2012-08-03 00:00:00-04:00,20.360000610351562,22.15999984741211,19.899999618530273,21.09000015258789,21.09000015258789,80647000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.639784214133662,0.0
54,2012-08-06 00:00:00-04:00,21.389999389648438,22.149999618530273,21.299999237060547,21.920000076293945,21.920000076293945,27778900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.327096189071895,0.0
55,2012-08-07 00:00:00-04:00,22.200000762939453,22.450000762939453,20.5,20.719999313354492,20.719999313354492,36782900,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,22.853078575305094,0.0
56,2012-08-08 00:00:00-04:00,20.709999084472656,21.149999618530273,20.219999313354492,20.719999313354492,20.719999313354492,29537400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.465245982223166,0.0
57,2012-08-09 00:00:00-04:00,20.75,21.170000076293945,20.610000610351562,21.010000228881836,21.010000228881836,15610700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.200655845252015,0.0
58,2012-08-10 00:00:00-04:00,21.40999984741211,21.81999969482422,21.1299991607666,21.809999465942383,21.809999465942383,25794700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.129627412650265,0.0
59,2012-08-13 00:00:00-04:00,22.149999618530273,22.450000762939453,21.399999618530273,21.600000381469727,21.600000381469727,24973100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.033331588799257,0.0
60,2012-08-14 00:00:00-04:00,21.40999984741211,21.600000381469727,20.25,20.3799991607666,20.3799991607666,39308800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.73272569279332,0.0
61,2012-08-15 00:00:00-04:00,20.639999389648438,21.40999984741211,20.399999618530273,21.200000762939453,21.200000762939453,47861100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.635866614638072,0.0
