,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,40.40785598754883,40.45505905151367,39.18051528930664,39.32212829589844,8.062141418457031,6809332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,39.13330841064453,39.274925231933594,38.330814361572266,38.897281646728516,7.975036144256592,10196389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,38.61404800415039,39.03889846801758,38.47243118286133,38.80287170410156,7.955681324005127,11454056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,38.51963806152344,38.708457946777344,37.76435089111328,38.1891975402832,7.829858779907227,7353496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,37.81155776977539,38.56684112548828,37.81155776977539,38.14199447631836,7.820181846618652,5998912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,38.330814361572266,38.708457946777344,37.81155776977539,37.95317077636719,7.781467437744141,5761783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,38.330814361572266,38.61404800415039,38.047584533691406,38.378021240234375,7.868576526641846,3864094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,38.378021240234375,38.51963806152344,36.63142013549805,36.961856842041016,7.578219890594482,6304623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,37.528324127197266,37.71714401245117,36.961856842041016,37.19788360595703,7.626613616943359,3894414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,37.29229736328125,37.481117248535156,35.78172302246094,35.87613296508789,7.355620384216309,4714367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.972053909301756,0.0
