,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2007-04-19 00:00:00-04:00,50.20000076293945,55.220001220703125,49.0,54.79999923706055,45.40439224243164,15862400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2007-04-20 00:00:00-04:00,54.79999923706055,57.599998474121094,54.20000076293945,57.099998474121094,47.31005096435547,3054700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2007-04-23 00:00:00-04:00,57.20000076293945,57.880001068115234,56.58000183105469,57.5,47.6414680480957,1876400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2007-04-24 00:00:00-04:00,57.02000045776367,58.79999923706055,57.02000045776367,58.400001525878906,48.38716506958008,1532950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2007-04-25 00:00:00-04:00,59.099998474121094,59.5,57.02000045776367,57.220001220703125,47.40947723388672,1225350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2007-04-26 00:00:00-04:00,58.5,58.58000183105469,54.599998474121094,56.400001525878906,46.73006820678711,639700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2007-04-27 00:00:00-04:00,56.400001525878906,57.0,55.29999923706055,56.79999923706055,47.061485290527344,178150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2007-04-30 00:00:00-04:00,56.959999084472656,57.91999816894531,56.0,56.099998474121094,46.481502532958984,182500,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,,
8,2007-05-01 00:00:00-04:00,56.0,57.0,55.599998474121094,55.79999923706055,46.23293685913086,459200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2007-05-02 00:00:00-04:00,55.599998474121094,57.2400016784668,55.52000045776367,56.31999969482422,46.66378402709961,428500,0,0,0,0,0,0,0,0,0,0,0,0,0,100,56.643999862670896,0.0
10,2007-05-03 00:00:00-04:00,56.29999923706055,57.459999084472656,56.119998931884766,57.29999923706055,47.47576141357422,182600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.763272476196285,1.0
11,2007-05-04 00:00:00-04:00,57.540000915527344,58.20000076293945,56.81999969482422,57.599998474121094,47.72432327270508,139850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.915404475818974,1.0
12,2007-05-07 00:00:00-04:00,57.400001525878906,58.20000076293945,57.0,58.13999938964844,48.17173767089844,293300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.13805809651524,1.0
13,2007-05-08 00:00:00-04:00,58.36000061035156,58.79999923706055,58.0,58.599998474121094,48.55287170410156,259600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.40386543789812,1.0
14,2007-05-09 00:00:00-04:00,58.939998626708984,62.540000915527344,58.58000183105469,61.70000076293945,51.121368408203125,594800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.184980951541995,1.0
15,2007-05-10 00:00:00-04:00,61.70000076293945,61.70000076293945,59.459999084472656,60.81999969482422,50.39224624633789,568650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.6640752685024,1.0
16,2007-05-11 00:00:00-04:00,61.70000076293945,63.220001220703125,61.400001525878906,61.81999969482422,51.220794677734375,646250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.23787970965182,1.0
17,2007-05-14 00:00:00-04:00,63.0,64.0,62.0,63.84000015258789,52.89445877075195,390950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.074628881094746,1.0
18,2007-05-15 00:00:00-04:00,68.0,69.4000015258789,67.37999725341797,68.41999816894531,56.689205169677734,1224750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.59196875161303,1.0
19,2007-05-16 00:00:00-04:00,69.5,69.77999877929688,68.30000305175781,68.72000122070312,56.93777084350586,239550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.88797465508396,1.0
20,2007-05-17 00:00:00-04:00,68.9000015258789,73.36000061035156,68.87999725341797,72.80000305175781,60.31824493408203,592000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.69016163629739,1.0
21,2007-05-18 00:00:00-04:00,73.0,74.5,71.5,73.16000366210938,60.61652374267578,905150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.23013291371775,1.0
22,2007-05-21 00:00:00-04:00,73.36000061035156,73.77999877929688,67.08000183105469,69.08000183105469,57.23604965209961,708900,0,-100,0,0,0,0,0,0,0,0,0,0,0,-100,66.74829089868811,1.0
23,2007-05-22 00:00:00-04:00,69.5999984741211,70.0,63.68000030517578,67.41999816894531,55.86065673828125,1950650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.87041949328032,1.0
24,2007-05-23 00:00:00-04:00,68.5,69.73999786376953,67.0,67.16000366210938,55.645240783691406,620950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.92307116034016,1.0
25,2007-05-24 00:00:00-04:00,67.55999755859375,69.0,67.4000015258789,67.86000061035156,56.2252197265625,600050,0,0,0,0,0,0,0,0,0,0,100,0,0,0,67.09342196943314,1.0
26,2007-05-25 00:00:00-04:00,67.86000061035156,70.4000015258789,67.69999694824219,70.0199966430664,58.01487731933594,381600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.62552645554828,1.0
27,2007-05-29 00:00:00-04:00,72.27999877929688,72.27999877929688,67.0999984741211,67.80000305175781,56.17551040649414,443000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,67.65724947304092,1.0
28,2007-05-30 00:00:00-04:00,67.94000244140625,71.73999786376953,67.31999969482422,71.63999938964844,59.35712814331055,431550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.38138582151501,1.0
29,2007-05-31 00:00:00-04:00,71.9000015258789,74.0,70.5999984741211,71.31999969482422,59.09199142456055,533300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.91567925302577,1.0
30,2007-06-01 00:00:00-04:00,71.16000366210938,73.4800033569336,71.0999984741211,73.18000030517578,60.63309097290039,406650,0,0,0,0,0,0,0,0,0,0,0,0,0,100,69.69101035341669,1.0
31,2007-06-04 00:00:00-04:00,72.86000061035156,73.36000061035156,70.30000305175781,73.36000061035156,60.782230377197266,287050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.35809949104122,1.0
32,2007-06-05 00:00:00-04:00,73.18000030517578,73.9000015258789,70.44000244140625,70.5199966430664,58.42915344238281,431100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.38753533686398,1.0
33,2007-06-06 00:00:00-04:00,69.41999816894531,69.5999984741211,66.33999633789062,67.77999877929688,56.158935546875,653350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.91343778094269,0.0
34,2007-06-07 00:00:00-04:00,68.5,68.63999938964844,65.0,65.05999755859375,53.9052848815918,614900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.03099410415197,0.0
35,2007-06-08 00:00:00-04:00,65.4000015258789,66.0,64.23999786376953,65.0999984741211,53.93842697143555,258850,0,0,0,0,100,0,0,0,0,0,0,0,0,0,68.31626762596454,0.0
36,2007-06-11 00:00:00-04:00,66.04000091552734,68.5,65.80000305175781,67.54000091552734,55.960086822509766,492000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.17512822406687,0.0
37,2007-06-12 00:00:00-04:00,66.80000305175781,67.44000244140625,65.0,66.23999786376953,54.882972717285156,580600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.82328634037644,0.0
38,2007-06-13 00:00:00-04:00,65.0,67.69999694824219,65.0,67.58000183105469,55.993228912353516,363900,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67.77905279322704,0.0
39,2007-06-14 00:00:00-04:00,68.0,68.33999633789062,65.12000274658203,65.86000061035156,54.5681266784668,547800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43013421452241,0.0
40,2007-06-15 00:00:00-04:00,66.0,71.69999694824219,65.80000305175781,71.19999694824219,58.9925651550293,936100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.11556380247146,1.0
41,2007-06-18 00:00:00-04:00,71.62000274658203,73.69999694824219,69.62000274658203,71.23999786376953,59.02570724487305,808700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.68364272270748,1.0
42,2007-06-19 00:00:00-04:00,71.5999984741211,71.5999984741211,67.73999786376953,67.9800033569336,56.324649810791016,429800,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,68.55570829256676,0.0
43,2007-06-20 00:00:00-04:00,67.81999969482422,68.13999938964844,65.12000274658203,65.27999877929688,54.08756637573242,598450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.96012474469951,0.0
44,2007-06-21 00:00:00-04:00,65.73999786376953,67.95999908447266,65.0999984741211,67.23999786376953,55.711517333984375,380400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.82919258453043,0.0
45,2007-06-22 00:00:00-04:00,66.73999786376953,68.0,65.55999755859375,67.66000366210938,56.059513092041016,1329000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.79843096227206,0.0
46,2007-06-25 00:00:00-04:00,67.54000091552734,70.0999984741211,66.87999725341797,70.0,57.99831008911133,301550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.19871624185896,1.0
47,2007-06-26 00:00:00-04:00,69.62000274658203,69.9000015258789,67.5,69.5199966430664,57.60060501098633,264750,0,0,0,0,0,0,0,0,0,0,0,100,0,0,68.43894904207849,1.0
48,2007-06-27 00:00:00-04:00,69.5199966430664,70.62000274658203,68.31999969482422,69.69999694824219,57.7497444152832,282650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.6682304795628,1.0
49,2007-06-28 00:00:00-04:00,69.86000061035156,69.86000061035156,67.30000305175781,67.30000305175781,55.761234283447266,213300,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,68.41946185632553,0.0
50,2007-06-29 00:00:00-04:00,67.33999633789062,68.16000366210938,65.69999694824219,66.08000183105469,54.75040817260742,383900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.99410548809446,0.0
51,2007-07-02 00:00:00-04:00,66.12000274658203,67.0,65.91999816894531,66.05999755859375,54.73383331298828,207200,0,0,0,0,100,0,0,0,0,0,100,0,0,0,67.64244950091252,0.0
52,2007-07-03 00:00:00-04:00,66.05999755859375,69.30000305175781,66.05999755859375,68.68000030517578,56.90462875366211,179000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.83109510168765,1.0
53,2007-07-05 00:00:00-04:00,68.95999908447266,69.04000091552734,67.0999984741211,68.37999725341797,56.656063079833984,119700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.93089549291135,1.0
54,2007-07-06 00:00:00-04:00,68.69999694824219,70.4000015258789,68.31999969482422,70.33999633789062,58.28001403808594,329050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.36891382836212,1.0
