,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,4.643750190734863,4.971875190734863,4.550000190734863,4.824999809265137,4.824999809265137,202670000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,4.912499904632568,4.9375,4.675000190734863,4.743750095367432,4.743750095367432,140088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,4.859375,4.881249904632568,4.690625190734863,4.703125,4.703125,119118000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,4.887499809265137,5.099999904632568,4.753125190734863,4.849999904632568,4.849999904632568,211332000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,4.828125,5.021874904632568,4.775000095367432,4.993750095367432,4.993750095367432,190190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,5.028124809265137,5.028124809265137,4.775000095367432,4.884375095367432,4.884375095367432,118420000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,4.900000095367432,4.949999809265137,4.453125,4.5,4.5,258292000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,4.387499809265137,4.412499904632568,4.0,4.056250095367432,4.056250095367432,330476000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,4.153124809265137,4.324999809265137,4.078125,4.115624904632568,4.115624904632568,206086000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,4.171875,4.268750190734863,4.131249904632568,4.175000190734863,4.175000190734863,118260000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.584687519073486,0.0
10,1999-12-30 00:00:00-05:00,4.231249809265137,4.256249904632568,3.924999952316284,3.953125,3.953125,185132000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.469857970151034,0.0
11,1999-12-31 00:00:00-05:00,3.965625047683716,3.96875,3.799999952316284,3.8062500953674316,3.8062500953674316,145414000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.349201992917652,0.0
12,2000-01-03 00:00:00-05:00,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875,4.46875,322352000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3709379942053515,1.0
13,2000-01-04 00:00:00-05:00,4.268750190734863,4.574999809265137,4.087500095367432,4.096875190734863,4.096875190734863,349748000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.321108393574353,0.0
14,2000-01-05 00:00:00-05:00,3.5250000953674316,3.7562499046325684,3.4000000953674316,3.487499952316284,3.487499952316284,769148000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1695432224365225,0.0
15,2000-01-06 00:00:00-05:00,3.565624952316284,3.6343750953674316,3.200000047683716,3.278125047683716,3.278125047683716,375040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.007467190663285,0.0
16,2000-01-07 00:00:00-05:00,3.3499999046325684,3.5250000953674316,3.309375047683716,3.4781250953674316,3.4781250953674316,210108000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9112231733367664,0.0
17,2000-01-10 00:00:00-05:00,3.628124952316284,3.6312499046325684,3.278125047683716,3.4593749046325684,3.4593749046325684,295158000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.829068942663276,0.0
18,2000-01-11 00:00:00-05:00,3.34375,3.5,3.25,3.3375000953674316,3.3375000953674316,210654000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.739692788609486,0.0
19,2000-01-12 00:00:00-05:00,3.393749952316284,3.4000000953674316,3.1500000953674316,3.1781249046325684,3.1781249046325684,216090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375895369773192,0.0
20,2000-01-13 00:00:00-05:00,3.246875047683716,3.359375,3.15625,3.296875,3.296875,208962000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5756414393450795,0.0
21,2000-01-14 00:00:00-05:00,3.3375000953674316,3.4312500953674316,3.200000047683716,3.2125000953674316,3.2125000953674316,137072000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,3.5096157404400525,0.0
22,2000-01-18 00:00:00-05:00,3.171875,3.2593750953674316,3.1500000953674316,3.206249952316284,3.206249952316284,107698000,0,0,0,100,0,0,0,0,0,0,0,0,0,0,3.454458324417549,0.0
23,2000-01-19 00:00:00-05:00,3.206249952316284,3.375,3.1500000953674316,3.340625047683716,3.340625047683716,164910000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4337613650113976,0.0
24,2000-01-20 00:00:00-05:00,3.346874952316284,3.3499999046325684,3.1968750953674316,3.237499952316284,3.237499952316284,119560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3980774717941045,0.0
25,2000-01-21 00:00:00-05:00,3.231250047683716,3.231250047683716,3.0,3.1031250953674316,3.1031250953674316,229238000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.344449766989255,0.0
26,2000-01-24 00:00:00-05:00,3.378124952316284,3.668750047683716,3.375,3.5062499046325684,3.5062499046325684,583404000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3738679738334936,1.0
27,2000-01-25 00:00:00-05:00,3.5,3.5625,3.299999952316284,3.4625000953674316,3.4625000953674316,188682000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3899829050214825,1.0
