,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,13.71875,13.796875,13.453125,13.53125,9.964381217956543,5478800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,13.65625,14.039063453674316,13.578125,13.75,10.125465393066406,6148400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,14.09375,14.375,13.9375,14.15625,10.4246244430542,7048000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,14.09375,14.265625,13.703125,13.734375,10.113958358764648,6185200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,13.71875,13.9375,13.546875,13.875,10.217512130737305,4624400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,13.796875,14.21875,13.5625,14.125,10.401617050170898,6795600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,14.25,14.828125,14.15625,14.640625,10.781316757202148,6182000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,14.625,14.984375,14.625,14.875,10.953913688659668,5737600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,14.953125,15.0,14.875,14.953125,11.011445999145508,6302000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,14.96875,15.0,14.546875,14.90625,10.976926803588867,4543600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2546875,1.0
10,1999-12-30 00:00:00-05:00,14.859375,14.859375,14.6875,14.78125,10.884872436523438,2915200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.350426136363636,1.0
11,1999-12-31 00:00:00-05:00,14.828125,15.0,14.765625,14.9375,10.999934196472168,2506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.457166838842975,1.0
12,2000-01-03 00:00:00-05:00,14.703125,14.859375,13.75,13.9375,10.263540267944336,8093600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.362681959053344,0.0
13,2000-01-04 00:00:00-05:00,13.75,13.765625,12.84375,13.1875,9.71124267578125,7822000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.149012511952735,0.0
14,2000-01-05 00:00:00-05:00,13.15625,13.484375,12.9375,13.171875,9.699737548828125,4921200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.971351146143148,0.0
15,2000-01-06 00:00:00-05:00,13.0,13.5,12.96875,13.140625,9.676726341247559,4519600,0,0,0,100,0,0,0,0,0,0,0,0,0,0,13.820310028662576,0.0
16,2000-01-07 00:00:00-05:00,13.234375,13.609375,13.1875,13.4375,9.89533805847168,3668400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75070820526938,0.0
17,2000-01-10 00:00:00-05:00,13.5,13.875,13.453125,13.84375,10.194506645202637,4485600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.767624895220402,1.0
18,2000-01-11 00:00:00-05:00,13.65625,13.9375,13.359375,13.40625,9.872331619262695,4191600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.701920368816692,0.0
19,2000-01-12 00:00:00-05:00,13.453125,13.546875,12.9375,13.234375,9.752123832702637,9044400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61691211994093,0.0
20,2000-01-13 00:00:00-05:00,13.25,13.25,13.0,13.09375,9.648504257202148,5228000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.521791734497125,0.0
21,2000-01-14 00:00:00-05:00,13.25,13.71875,13.21875,13.53125,9.970890045166016,9078800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.523511419134012,1.0
22,2000-01-18 00:00:00-05:00,13.6875,13.6875,13.21875,13.3125,9.809690475463867,4621200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.485145706564191,0.0
23,2000-01-19 00:00:00-05:00,13.375,13.421875,13.1875,13.21875,9.740616798400879,4502800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43671012355252,0.0
24,2000-01-20 00:00:00-05:00,13.21875,13.234375,12.25,12.6875,9.349146842956543,11997200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.300490101088426,0.0
25,2000-01-21 00:00:00-05:00,12.65625,12.671875,11.671875,11.84375,8.727397918701172,15600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.035628264526894,0.0
26,2000-01-24 00:00:00-05:00,11.875,12.21875,11.546875,11.6875,8.612261772155762,8660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.790514034612913,0.0
27,2000-01-25 00:00:00-05:00,11.75,11.796875,11.25,11.5,8.47409725189209,9133600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.555875119228748,0.0
28,2000-01-26 00:00:00-05:00,11.4375,11.75,11.0625,11.65625,8.58923625946045,10991600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.392306915732613,0.0
29,2000-01-27 00:00:00-05:00,11.6875,11.734375,11.265625,11.453125,8.439557075500488,9506800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.221546567417592,0.0
30,2000-01-28 00:00:00-05:00,11.40625,11.421875,10.828125,11.140625,8.209290504455566,6953200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,12.025015373341667,0.0
31,2000-01-31 00:00:00-05:00,11.171875,11.328125,10.765625,11.15625,8.22080135345459,9974000,0,0,0,0,100,0,0,0,0,0,0,0,0,0,11.867058032734091,0.0
32,2000-02-01 00:00:00-05:00,11.21875,11.875,11.21875,11.765625,8.66983413696289,11792000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.848615663146074,0.0
33,2000-02-02 00:00:00-05:00,11.65625,12.09375,11.453125,11.8125,8.704378128051758,10628400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.842049178937696,0.0
34,2000-02-03 00:00:00-05:00,11.875,12.0625,11.625,11.78125,8.681352615356445,5974400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.830994782767206,0.0
35,2000-02-04 00:00:00-05:00,11.765625,12.203125,11.765625,12.09375,8.91162395477295,10000800,0,0,0,0,0,0,0,0,0,0,0,0,0,100,11.878768458627714,1.0
36,2000-02-07 00:00:00-05:00,11.90625,11.90625,11.671875,11.734375,8.646808624267578,7067600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.852515102513584,0.0
37,2000-02-08 00:00:00-05:00,11.75,12.1875,11.296875,12.109375,8.923138618469238,6735200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.899216902056569,1.0
38,2000-02-09 00:00:00-05:00,12.109375,12.109375,11.515625,11.59375,8.543184280395508,4956800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.843677465319011,0.0
