,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,3.09375,3.164062976837158,3.085937976837158,3.15625,2.509782314300537,9096800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,3.132812976837158,3.171875,3.054687976837158,3.15625,2.509782314300537,15336800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,3.34375,3.375,3.25,3.265625,2.5967555046081543,25403200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,3.257812976837158,3.320312976837158,3.164062976837158,3.25,2.584329843521118,10308000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,3.25,3.328125,3.070312976837158,3.210937976837158,2.5532686710357666,18798400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,3.148437976837158,3.234375,3.070312976837158,3.1875,2.5346312522888184,15609600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,3.195312976837158,3.25,3.125,3.15625,2.509782314300537,9007200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,3.125,3.203125,3.0625,3.109375,2.472507953643799,10276800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,3.054687976837158,3.15625,3.046875,3.148437976837158,2.503570556640625,10728000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,3.101562976837158,3.117187976837158,3.046875,3.085937976837158,2.4538724422454834,9412800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1726563930511475,0.0
10,1999-12-30 00:00:00-05:00,3.046875,3.101562976837158,3.015625,3.015625,2.3979604244232178,12054400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.144105230678212,0.0
11,1999-12-31 00:00:00-05:00,3.015625,3.101562976837158,2.96875,3.03125,2.4103844165802,13036800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1235860978276277,0.0
