,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2001-06-13 00:00:00-04:00,31.5,32.0,31.09000015258789,31.25,12.123140335083008,69567200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2001-06-14 00:00:00-04:00,31.0,31.0,29.5,30.149999618530273,11.696412086486816,31979800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2001-06-15 00:00:00-04:00,30.0,30.75,29.950000762939453,30.600000381469727,11.870975494384766,14369300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2001-06-18 00:00:00-04:00,30.059999465942383,30.600000381469727,30.059999465942383,30.31999969482422,11.762359619140625,4019800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2001-06-19 00:00:00-04:00,30.600000381469727,30.709999084472656,30.209999084472656,30.399999618530273,11.7933931350708,5690300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2001-06-20 00:00:00-04:00,30.399999618530273,30.59000015258789,30.18000030517578,30.299999237060547,11.75460147857666,3791600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2001-06-21 00:00:00-04:00,30.350000381469727,30.350000381469727,30.0,30.0,11.638222694396973,6027200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2001-06-22 00:00:00-04:00,30.0,30.020000457763672,29.760000228881836,30.0,11.638222694396973,4847700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2001-06-25 00:00:00-04:00,30.0,30.149999618530273,29.850000381469727,30.149999618530273,11.696412086486816,2420300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2001-06-26 00:00:00-04:00,30.0,30.079999923706055,29.809999465942383,30.040000915527344,11.653740882873535,3333300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.320999908447266,0.0
10,2001-06-27 00:00:00-04:00,29.950000762939453,30.0,29.809999465942383,29.940000534057617,11.614945411682129,3182300,0,0,0,0,0,0,0,0,0,0,0,100,0,0,30.251727294921874,0.0
