,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,35.0625,35.0625,34.4375,34.6875,19.582477569580078,2771000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,34.5,34.5625,33.8125,34.0,19.194353103637695,4415800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,34.625,35.125,34.5,35.0,19.758893966674805,5427400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,34.8125,36.0,34.75,35.40625,19.98823356628418,6300600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,35.125,35.4375,34.5625,34.875,19.688323974609375,4263400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,35.0625,35.375,34.8125,35.0625,19.794179916381836,3809400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,35.5625,36.0,35.125,35.4375,20.00588607788086,2765700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,35.1875,36.4375,35.1875,36.4375,20.570415496826172,2452300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,36.25,37.125,36.125,36.625,20.676280975341797,4185700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,36.625,36.75,35.5625,35.5625,20.076444625854492,1189400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.309375,1.0
10,1999-12-30 00:00:00-05:00,35.5,36.125,35.5,35.5,20.041166305541992,1939400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.34403409090909,1.0
11,1999-12-31 00:00:00-05:00,35.5,35.6875,35.25,35.25,19.90003204345703,1223500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.32693698347107,0.0
12,2000-01-03 00:00:00-05:00,35.375,37.375,35.0,36.875,20.817399978637695,5298400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.60840298647633,1.0
13,2000-01-04 00:00:00-05:00,36.5625,37.5625,35.75,35.9375,20.288150787353516,4555700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.66823880711699,1.0
14,2000-01-05 00:00:00-05:00,35.8125,36.3125,34.875,35.0625,19.794179916381836,5701900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.55810447855027,0.0
15,2000-01-06 00:00:00-05:00,34.75,36.875,34.5,36.625,20.676280975341797,6863100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,35.75208548245022,1.0
16,2000-01-07 00:00:00-05:00,36.875,38.625,36.6875,37.625,21.24080467224121,10527800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.092615394732,1.0
17,2000-01-10 00:00:00-05:00,38.125,38.1875,36.625,36.875,20.817399978637695,6402500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.23486714114436,1.0
18,2000-01-11 00:00:00-05:00,37.25,37.625,36.625,36.75,20.74683380126953,5607800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.328527660936295,1.0
19,2000-01-12 00:00:00-05:00,36.75,37.25,36.3125,36.3125,20.49984359741211,4267300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.32561354076606,0.0
20,2000-01-13 00:00:00-05:00,36.3125,36.625,35.9375,35.9375,20.288150787353516,3144200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.255047442444955,0.0
21,2000-01-14 00:00:00-05:00,36.0625,36.8125,35.9375,36.1875,20.42928123474121,5413700,0,0,0,0,0,0,0,0,0,0,100,0,0,0,36.24276608927315,0.0
22,2000-01-18 00:00:00-05:00,35.9375,37.0,35.5625,36.25,20.464569091796875,4821600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.24408134576894,1.0
23,2000-01-19 00:00:00-05:00,36.875,36.875,35.9375,36.4375,20.570415496826172,3999700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.27924837381095,1.0
24,2000-01-20 00:00:00-05:00,36.4375,36.4375,36.0,36.125,20.393993377685547,3106100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.25120321493623,0.0
25,2000-01-21 00:00:00-05:00,36.1875,36.4375,35.75,36.125,20.393993377685547,4454400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,36.22825717585692,0.0
26,2000-01-24 00:00:00-05:00,36.1875,36.375,34.8125,35.3125,19.935304641723633,3785000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06175587115566,0.0
27,2000-01-25 00:00:00-05:00,35.3125,35.375,33.875,34.3125,19.370763778686523,4356500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.74370934912736,0.0
28,2000-01-26 00:00:00-05:00,34.3125,34.9375,33.75,33.9375,19.159059524536133,3174100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.41530764928602,0.0
29,2000-01-27 00:00:00-05:00,34.0,34.3125,33.25,33.8125,19.0884952545166,2610100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.123888076688566,0.0
30,2000-01-28 00:00:00-05:00,33.5625,34.0,33.1875,33.25,18.770944595336914,4090800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,34.78318115365428,0.0
31,2000-01-31 00:00:00-05:00,33.5,34.375,33.25,34.125,19.26491928100586,2989600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.66351185298987,0.0
32,2000-02-01 00:00:00-05:00,34.0,34.3125,33.6875,34.0,19.194353103637695,3602600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.54287333426444,0.0
33,2000-02-02 00:00:00-05:00,33.75,33.9375,32.9375,33.0,18.62981414794922,3289100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.26235090985273,0.0
34,2000-02-03 00:00:00-05:00,33.0,33.375,32.625,33.0625,18.66509246826172,3662900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.04419619897041,0.0
35,2000-02-04 00:00:00-05:00,33.625,34.125,32.625,32.75,18.48867416381836,3885600,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,33.80888779915761,0.0
36,2000-02-07 00:00:00-05:00,32.875,33.1875,32.25,32.375,18.2769718170166,3999700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.5481809265835,0.0
37,2000-02-08 00:00:00-05:00,33.3125,33.75,33.0,33.3125,18.806228637695312,5010500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.505329849022864,0.0
38,2000-02-09 00:00:00-05:00,35.0,35.125,33.75,34.0,19.194353103637695,8432500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.59526987647325,1.0
39,2000-02-10 00:00:00-05:00,34.875,34.875,34.0625,34.625,19.547189712524414,5909500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.7824935352963,1.0
40,2000-02-11 00:00:00-05:00,35.0,35.125,34.0,34.375,19.406051635742188,5530400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.89022198342424,1.0
41,2000-02-14 00:00:00-05:00,34.1875,34.5,33.9375,34.0625,19.229631423950195,3493300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.921545259165285,1.0
42,2000-02-15 00:00:00-05:00,34.0,34.875,34.0,34.1875,19.30019760131836,3909600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.96990066658978,1.0
43,2000-02-16 00:00:00-05:00,34.125,34.8125,33.9375,34.0,19.194353103637695,4606800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.97537327266436,1.0
44,2000-02-17 00:00:00-05:00,34.5625,34.8125,34.25,34.3125,19.370763778686523,2847700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.03666904127084,1.0
45,2000-02-18 00:00:00-05:00,34.375,34.75,33.9375,34.25,19.335479736328125,3664500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.075456488312504,1.0
46,2000-02-22 00:00:00-05:00,34.3125,34.875,34.125,34.6875,19.582477569580078,2929400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.18673712680114,1.0
47,2000-02-23 00:00:00-05:00,34.3125,34.75,34.0,34.1875,19.30019760131836,3249300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.186875831019115,1.0
48,2000-02-24 00:00:00-05:00,34.0625,34.375,33.1875,34.0,19.194353103637695,3612800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.152898407197455,0.0
49,2000-02-25 00:00:00-05:00,34.0,34.375,32.6875,32.75,18.48867416381836,4205500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.897825969525194,0.0
50,2000-02-28 00:00:00-05:00,33.1875,33.875,32.75,33.25,18.770944595336914,3654700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.78003942961152,0.0
51,2000-02-29 00:00:00-05:00,32.875,33.0625,32.125,32.125,18.13583755493164,4635500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.479123169682154,0.0
52,2000-03-01 00:00:00-05:00,32.0,32.9375,31.875,32.5625,18.38282012939453,5496400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,33.312464411558125,0.0
53,2000-03-02 00:00:00-05:00,32.6875,32.875,31.5625,31.5625,17.818288803100586,5170400,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,32.9942890640021,0.0
54,2000-03-03 00:00:00-05:00,32.5,32.5,31.3125,31.625,17.853572845458984,4626600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74532741600172,0.0
55,2000-03-06 00:00:00-05:00,31.0625,31.4375,30.6875,31.0,17.5007266998291,4457900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.427995158546864,0.0
56,2000-03-07 00:00:00-05:00,31.0,31.5,29.6875,30.625,17.289030075073242,7053200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.100177856992886,0.0
57,2000-03-08 00:00:00-05:00,31.0,31.5,30.0625,30.5,17.294700622558594,5159800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.809236428448724,0.0
58,2000-03-09 00:00:00-05:00,30.75,31.75,30.625,31.375,17.79085922241211,3913200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.730284350548956,0.0
59,2000-03-10 00:00:00-05:00,31.0625,31.375,30.5,30.75,17.43645668029785,3649100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.552050832267327,0.0
60,2000-03-13 00:00:00-05:00,30.125,31.1875,30.125,31.125,17.64909553527832,4308000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,31.47440522640054,0.0
61,2000-03-14 00:00:00-05:00,30.625,30.75,30.125,30.6875,17.401018142700195,4602900,0,0,0,0,0,0,0,0,0,0,0,100,0,0,31.331331548873166,0.0
62,2000-03-15 00:00:00-05:00,30.4375,33.1875,30.3125,33.1875,18.818614959716797,5463800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.668816721805317,1.0
63,2000-03-16 00:00:00-05:00,33.0,34.1875,32.25,34.0625,19.31477165222168,5410300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.10403186329526,1.0
64,2000-03-17 00:00:00-05:00,33.0,33.9375,32.8125,33.0,18.712299346923828,4464500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.26693516087794,1.0
65,2000-03-20 00:00:00-05:00,32.5,33.625,32.25,33.25,18.85405158996582,2643800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.445674222536496,1.0
66,2000-03-21 00:00:00-05:00,33.375,34.3125,32.625,34.3125,19.45652961730957,5479700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.78509709116622,1.0
