,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,35.75,37.875,35.375,37.03125,23.91912269592285,7350800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,37.0625,37.3125,36.0,37.3125,24.100793838500977,4108600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,37.4375,37.4375,36.5625,36.8125,23.777833938598633,4289000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,36.6875,36.875,35.5625,36.265625,23.424592971801758,3101400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,35.78125,35.9375,35.125,35.375,22.84932518005371,3743600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,35.5625,37.0,35.5625,36.78125,23.75765037536621,2732200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,36.90625,37.75,36.8125,37.5,24.22189712524414,1911400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,37.5,38.5,37.25,37.25,24.060428619384766,2609600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,36.5,37.34375,36.5,37.125,23.979679107666016,2611800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,37.15625,37.15625,35.75,36.40625,23.515422821044922,1558200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.7859375,0.0
10,1999-12-30 00:00:00-05:00,36.40625,37.125,36.0625,36.90625,23.838397979736328,1392400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.807812500000004,1.0
11,1999-12-31 00:00:00-05:00,36.875,37.125,36.6875,36.71875,23.717269897460938,1152800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.79161931818182,0.0
12,2000-01-03 00:00:00-05:00,36.125,36.375,35.125,36.03125,23.273210525512695,2870400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.65337035123967,0.0
13,2000-01-04 00:00:00-05:00,34.75,35.34375,34.3125,34.46875,22.26395606994629,3856400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.256166651014276,0.0
14,2000-01-05 00:00:00-05:00,34.46875,34.96875,33.5,33.6875,21.759340286254883,4330600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.789136350829864,0.0
15,2000-01-06 00:00:00-05:00,33.0,33.125,31.84375,32.09375,20.72990608215332,8167400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.117247923406254,0.0
16,2000-01-07 00:00:00-05:00,32.0,33.84375,31.90625,33.75,21.79971694946289,4402600,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34.868657391877846,0.0
17,2000-01-10 00:00:00-05:00,33.25,33.75,32.78125,33.09375,21.37582015991211,2559600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.54594695699097,0.0
18,2000-01-11 00:00:00-05:00,33.03125,34.25,33.0,34.09375,22.0217342376709,3790400,0,0,0,0,0,0,0,0,0,0,0,0,0,100,34.46372932844716,0.0
19,2000-01-12 00:00:00-05:00,34.15625,34.375,33.5625,33.71875,21.77952003479004,3191400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.32827854145677,0.0
20,2000-01-13 00:00:00-05:00,34.5625,35.0,34.21875,34.5,22.284143447875977,5080200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.359500624828264,1.0
21,2000-01-14 00:00:00-05:00,35.0,35.21875,34.4375,34.625,22.36488151550293,2916600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.40777323849585,1.0
22,2000-01-18 00:00:00-05:00,33.75,34.25,33.625,34.0,21.961181640625,1939200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.33363264967842,0.0
23,2000-01-19 00:00:00-05:00,34.03125,35.90625,33.5,34.96875,22.586923599243164,3417000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.44910853155507,1.0
24,2000-01-20 00:00:00-05:00,34.96875,35.09375,33.5,33.84375,21.86026954650879,3005400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.3390433439996,0.0
25,2000-01-21 00:00:00-05:00,34.375,34.5,32.25,32.40625,20.931760787963867,5370200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.98762637236331,0.0
26,2000-01-24 00:00:00-05:00,32.75,33.125,31.625,31.75,20.507871627807617,5629400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.580785213751795,0.0
27,2000-01-25 00:00:00-05:00,32.25,32.71875,31.4375,32.5625,21.03268814086914,4761400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3956424476151,0.0
28,2000-01-26 00:00:00-05:00,32.5,34.25,32.5,34.0625,22.001556396484375,5087000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.51688927532145,1.0
29,2000-01-27 00:00:00-05:00,33.96875,34.0,32.90625,33.65625,21.739145278930664,4697200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.542227588899365,1.0
30,2000-01-28 00:00:00-05:00,33.71875,33.71875,31.5,31.6875,20.467506408691406,4666800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.205004390917665,0.0
31,2000-01-31 00:00:00-05:00,31.875,33.125,31.6875,32.9375,21.27490234375,3084800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.15636722893264,0.0
32,2000-02-01 00:00:00-05:00,33.0,34.0625,32.5625,33.71875,21.77952003479004,2733200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.25861864185398,1.0
33,2000-02-02 00:00:00-05:00,33.75,34.5625,33.03125,34.0,21.961181640625,3095800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.39341525242598,1.0
34,2000-02-03 00:00:00-05:00,33.875,33.875,32.8125,33.03125,21.335460662841797,4748800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.32756702471217,0.0
35,2000-02-04 00:00:00-05:00,33.46875,33.75,31.875,32.3125,20.871196746826172,4543600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.14300938385541,0.0
36,2000-02-07 00:00:00-05:00,32.5,33.25,32.3125,32.84375,21.21434783935547,2819400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.08859858679079,0.0
37,2000-02-08 00:00:00-05:00,32.84375,34.375,32.8125,34.34375,22.18323516845703,3512200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.31680793464701,1.0
38,2000-02-09 00:00:00-05:00,34.34375,34.34375,33.5,33.59375,21.69878387451172,2085400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.367161037438464,1.0
39,2000-02-10 00:00:00-05:00,33.65625,34.125,33.0625,33.21875,21.45656967163086,1900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.34017721244965,0.0
40,2000-02-11 00:00:00-05:00,33.28125,33.4375,33.03125,33.03125,21.335460662841797,2102400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.2840086283679,0.0
41,2000-02-14 00:00:00-05:00,33.0625,33.0625,32.1875,32.625,21.073043823242188,1876800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.16418887775556,0.0
42,2000-02-15 00:00:00-05:00,32.5,32.5,31.4375,31.96875,20.649169921875,2811400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.94683635452727,0.0
43,2000-02-16 00:00:00-05:00,31.875,32.625,30.71875,30.90625,19.994155883789062,3917000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.57582065370413,0.0
44,2000-02-17 00:00:00-05:00,30.90625,31.125,29.25,29.9375,19.367435455322266,5698600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.09612598939429,0.0
45,2000-02-18 00:00:00-05:00,29.9375,30.375,29.09375,29.5,19.08441925048828,5321600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.62410308223169,0.0
46,2000-02-22 00:00:00-05:00,29.40625,29.90625,27.71875,28.875,18.68007469177246,5649200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.124266158189567,0.0
47,2000-02-23 00:00:00-05:00,29.125,29.15625,28.34375,28.40625,18.376827239990234,3702200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.6300814021551,0.0
48,2000-02-24 00:00:00-05:00,28.40625,28.40625,26.875,27.9375,18.073577880859375,4127400,0,0,0,0,0,0,0,0,0,0,0,0,100,0,30.140521147217807,0.0
49,2000-02-25 00:00:00-05:00,28.03125,28.375,27.4375,27.9375,18.073577880859375,4806600,0,0,0,0,100,0,0,0,0,0,0,0,0,0,29.73997184772366,0.0
50,2000-02-28 00:00:00-05:00,28.625,29.53125,28.3125,29.4375,19.043973922729492,3935000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.684976966319358,0.0
51,2000-02-29 00:00:00-05:00,29.4375,30.25,29.0625,29.5,19.08441925048828,3704400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.65134479062493,0.0
52,2000-03-01 00:00:00-05:00,29.46875,30.0,29.25,29.625,19.165281295776367,4027400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.646554828693123,0.0
