,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,3.96875,4.140625,3.96875,4.03125,2.9858405590057373,6146800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,4.0625,4.234375,4.0625,4.234375,3.1362903118133545,6224000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,4.296875,4.296875,4.21875,4.296875,3.1825814247131348,4254800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,4.296875,4.3125,4.15625,4.265625,3.159435987472534,3943200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,4.265625,4.296875,4.171875,4.25,3.147862434387207,2204800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,4.21875,4.25,4.125,4.203125,3.1131443977355957,2402000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,4.140625,4.375,4.125,4.265625,3.159435987472534,4230800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,4.234375,4.296875,4.046875,4.125,3.055278778076172,2252800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,4.25,4.28125,4.015625,4.25,3.147862434387207,3511200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,4.3125,4.421875,4.25,4.328125,3.205728054046631,1347200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.225,1.0
10,1999-12-30 00:00:00-05:00,4.421875,4.421875,4.125,4.265625,3.159435987472534,1889600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.232386363636364,1.0
11,1999-12-31 00:00:00-05:00,4.21875,4.390625,4.140625,4.390625,3.252021551132202,924400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2611570247933885,1.0
12,2000-01-03 00:00:00-05:00,4.296875,4.34375,3.75,3.875,2.870110034942627,3971200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.190946656649136,0.0
13,2000-01-04 00:00:00-05:00,3.75,3.90625,3.6875,3.875,2.870110034942627,5402800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133501809985657,0.0
14,2000-01-05 00:00:00-05:00,3.8125,3.875,3.71875,3.765625,2.7890989780426025,3598000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.066615117260993,0.0
15,2000-01-06 00:00:00-05:00,3.765625,4.125,3.734375,4.078125,3.020559787750244,3956000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.068707823213539,1.0
16,2000-01-07 00:00:00-05:00,4.125,4.1875,3.984375,4.03125,2.9858405590057373,2756400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.061897309901987,0.0
17,2000-01-10 00:00:00-05:00,3.96875,4.0625,3.90625,4.0625,3.008986711502075,1998800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.062006889919807,1.0
18,2000-01-11 00:00:00-05:00,4.0,4.15625,4.0,4.09375,3.032132387161255,2788400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.067778364479842,1.0
