,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,9.820130348205566,10.329099655151367,9.820130348205566,10.329099655151367,5.315424919128418,2925491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,10.448857307434082,10.47879695892334,10.209342002868652,10.388978958129883,5.346240520477295,2273967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,10.448857307434082,10.508735656738281,9.58061408996582,9.820130348205566,5.0535078048706055,4976090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,9.909948348999023,10.149462699890137,9.850069046020508,9.850069046020508,5.068913459777832,2389408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,9.88000774383545,10.05964469909668,9.76025104522705,9.820130348205566,5.0535078048706055,1342294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,9.939887046813965,10.089584350585938,9.820130348205566,9.909948348999023,5.099729537963867,1762309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,9.99976634979248,10.47879695892334,9.939887046813965,10.359039306640625,5.330832481384277,1575891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,10.418917655944824,10.508735656738281,10.209342002868652,10.209342002868652,5.253796577453613,1086152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,10.179403305053711,10.388978958129883,10.119524002075195,10.149462699890137,5.222984313964844,790972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,10.239280700683594,10.568614959716797,10.179403305053711,10.329099655151367,5.315424919128418,1281337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11653003692627,1.0
10,1999-12-30 00:00:00-05:00,10.329099655151367,10.329099655151367,10.179403305053711,10.179403305053711,5.2383880615234375,958185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.127961540222168,1.0
