,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,28.09375,29.34375,27.90625,28.734375,16.478639602661133,8918000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,28.5625,29.03125,28.3125,28.59375,16.397981643676758,6250800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,28.34375,28.625,27.5625,27.78125,15.93203067779541,6524800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,27.53125,27.96875,27.5,27.671875,15.86931037902832,4547800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,27.75,28.40625,27.75,27.96875,16.039554595947266,4822000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,28.21875,28.375,27.65625,28.375,16.27252769470215,3459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,28.15625,29.875,27.90625,29.65625,17.063840866088867,6952600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,29.375,29.78125,29.125,29.125,16.758167266845703,2512800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,29.125,29.71875,28.9375,29.0625,16.722198486328125,2996600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,29.1875,29.875,29.0625,29.84375,17.171722412109375,2988000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.68125,1.0
10,1999-12-30 00:00:00-05:00,29.75,29.75,29.09375,29.125,16.758167266845703,2339600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.761931818181818,1.0
11,1999-12-31 00:00:00-05:00,26.5,28.21875,26.5,28.0625,18.204814910888672,3818200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.634762396694214,0.0
12,2000-01-03 00:00:00-05:00,27.8125,27.84375,26.8125,27.46875,17.81963539123535,7239800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.422760142749812,0.0
13,2000-01-04 00:00:00-05:00,26.96875,27.78125,26.875,27.09375,17.576358795166016,7963000,0,0,0,100,0,0,0,0,0,0,0,0,0,0,28.18112193497712,0.0
14,2000-01-05 00:00:00-05:00,27.03125,27.5,26.75,27.03125,17.535818099975586,4826200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.972054310435826,0.0
15,2000-01-06 00:00:00-05:00,27.1875,29.03125,27.03125,28.875,18.73190689086914,8005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.136226253992948,1.0
16,2000-01-07 00:00:00-05:00,29.21875,30.03125,29.0625,29.40625,19.0765323638916,7368600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.367139662357868,1.0
17,2000-01-10 00:00:00-05:00,29.375,29.78125,28.9375,29.6875,19.258995056152344,5301600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6072051782928,1.0
18,2000-01-11 00:00:00-05:00,29.78125,30.4375,29.21875,30.28125,19.64417266845703,5525600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.911576964057748,1.0
19,2000-01-12 00:00:00-05:00,30.03125,30.53125,29.53125,29.59375,19.19817352294922,4767600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.035608425138157,1.0
20,2000-01-13 00:00:00-05:00,29.6875,30.75,29.6875,30.4375,19.745532989501953,4431000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.290497802385765,1.0
21,2000-01-14 00:00:00-05:00,30.59375,31.1875,30.125,30.75,19.948266983032227,4340400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.555861838315625,1.0
22,2000-01-18 00:00:00-05:00,31.0,33.375,30.875,33.0625,21.44843864440918,10215200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.19343241316733,1.0
23,2000-01-19 00:00:00-05:00,33.0,33.25,32.53125,32.9375,21.367345809936523,6894200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.69235379259145,1.0
24,2000-01-20 00:00:00-05:00,32.40625,32.625,31.625,32.28125,20.941619873046875,5076800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.98124401212028,1.0
25,2000-01-21 00:00:00-05:00,32.46875,33.8125,32.4375,33.0,21.407899856567383,8978600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.348290555371136,1.0
26,2000-01-24 00:00:00-05:00,33.125,33.46875,32.0,32.15625,20.860538482666016,5464400,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,31.495192272576386,1.0
27,2000-01-25 00:00:00-05:00,31.65625,32.375,31.25,31.75,20.59699058532715,6135600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54152095028977,1.0
28,2000-01-26 00:00:00-05:00,32.125,32.5,30.78125,31.4375,20.394258499145508,6799600,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,31.522608050237082,0.0
29,2000-01-27 00:00:00-05:00,31.3125,32.25,30.65625,31.25,20.272626876831055,8198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.473042950193975,0.0
30,2000-01-28 00:00:00-05:00,31.0625,31.625,29.875,30.0,19.461727142333984,6604200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.205216959249615,0.0
31,2000-01-31 00:00:00-05:00,30.1875,30.78125,29.875,30.53125,19.806360244750977,4803200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.08267751211332,0.0
32,2000-02-01 00:00:00-05:00,30.96875,32.03125,30.875,31.96875,20.7388973236084,3888400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.24378160081999,1.0
33,2000-02-02 00:00:00-05:00,32.25,32.5625,30.625,30.75,19.948266983032227,6333000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,31.15400312794363,0.0
34,2000-02-03 00:00:00-05:00,31.0,31.125,30.375,30.65625,19.887441635131836,4744400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.063502559226606,0.0
35,2000-02-04 00:00:00-05:00,30.375,30.65625,29.375,29.75,19.29954719543457,6238600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.824683912094496,0.0
36,2000-02-07 00:00:00-05:00,29.5625,30.75,29.5625,30.34375,19.684711456298828,4456000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.73724138262277,0.0
37,2000-02-08 00:00:00-05:00,30.5625,30.84375,29.375,29.75,19.29954719543457,3218600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.55774294941863,0.0
38,2000-02-09 00:00:00-05:00,29.75,30.15625,28.46875,28.53125,18.5089168548584,5931400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.189289685887967,0.0
39,2000-02-10 00:00:00-05:00,29.0,29.8125,28.75,29.53125,19.157630920410156,7112800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.06964610663561,0.0
40,2000-02-11 00:00:00-05:00,29.75,30.09375,29.15625,29.21875,18.95490264892578,5045000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.914937723610954,0.0
41,2000-02-14 00:00:00-05:00,29.21875,30.25,28.75,30.25,19.623889923095703,4750600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.975858137499873,1.0
42,2000-02-15 00:00:00-05:00,30.75,32.625,30.65625,32.5,21.083532333374023,10922200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.434793021590806,1.0
43,2000-02-16 00:00:00-05:00,32.90625,33.1875,32.53125,33.0,21.407899856567383,11507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.90119429039248,1.0
44,2000-02-17 00:00:00-05:00,32.75,33.84375,32.375,33.4375,21.69171142578125,10306800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.362340783048392,1.0
45,2000-02-18 00:00:00-05:00,33.59375,33.875,32.9375,33.25,21.570077896118164,5774400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.705551549766867,1.0
46,2000-02-22 00:00:00-05:00,32.9375,33.375,32.125,32.65625,21.244949340820312,5059000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.878405813445617,1.0
47,2000-02-23 00:00:00-05:00,32.25,32.5625,31.875,32.25,20.980661392211914,4034800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.945968392819143,1.0
