,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,24.583332061767578,25.166667938232422,24.0,25.166667938232422,18.894973754882812,3819600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,24.583332061767578,25.0,23.208332061767578,24.083332061767578,18.081613540649414,5127450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,24.0,24.25,23.291667938232422,24.083332061767578,18.081613540649414,6981750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,23.583332061767578,23.583332061767578,22.0,22.083332061767578,16.580026626586914,8153250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,22.416667938232422,22.833332061767578,22.0,22.666667938232422,17.01798439025879,7735800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,21.916667938232422,22.25,21.333332061767578,22.0,16.517465591430664,9218550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,21.833332061767578,22.75,21.833332061767578,22.666667938232422,17.01798439025879,5285400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,23.166667938232422,23.75,23.041667938232422,23.583332061767578,17.706214904785156,5629200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,23.333332061767578,23.416667938232422,22.5,22.875,17.174409866333008,3112650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,22.625,28.0,22.625,28.0,21.022220611572266,11779950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.720833206176756,1.0
10,1999-12-30 00:00:00-05:00,27.291667938232422,27.291667938232422,25.333332061767578,25.416667938232422,19.08266830444336,6734100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.02916679382324,1.0
11,1999-12-31 00:00:00-05:00,25.708332061767578,25.791667938232422,25.208332061767578,25.5,19.14523696899414,2992200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.296591013128104,1.0
12,2000-01-03 00:00:00-05:00,25.666667938232422,26.0,24.583332061767578,24.666667938232422,18.51958656311035,8738700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.363877726783436,1.0
13,2000-01-04 00:00:00-05:00,24.666667938232422,24.916667938232422,23.458332061767578,24.333332061767578,18.269311904907227,8725350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.358323969507826,0.0
14,2000-01-05 00:00:00-05:00,24.291667938232422,24.583332061767578,23.0,24.5,18.394447326660156,6704100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.38408324777913,1.0
15,2000-01-06 00:00:00-05:00,24.25,25.416667938232422,24.208332061767578,24.5,18.394447326660156,7567650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.405159020910197,1.0
16,2000-01-07 00:00:00-05:00,25.458332061767578,25.916667938232422,25.083332061767578,25.916667938232422,19.45807647705078,4294650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.679978824059692,1.0
17,2000-01-10 00:00:00-05:00,26.541667938232422,26.625,25.833332061767578,26.0,19.520631790161133,5781300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.919982674230656,1.0
18,2000-01-11 00:00:00-05:00,26.333332061767578,26.583332061767578,25.958332061767578,26.083332061767578,19.58319664001465,4009950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.131500744691916,1.0
19,2000-01-12 00:00:00-05:00,26.0,26.0,25.041667938232422,25.083332061767578,18.832406997680664,4154400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.122742802342035,0.0
