,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,30.875,31.125,30.1875,30.1875,19.715883255004883,1014800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,30.3125,30.3125,29.875,30.125,19.675064086914062,816400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,29.875,30.375,29.8125,30.0,19.593421936035156,993200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,30.0,30.40625,30.0,30.28125,19.7771053314209,529200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,30.0625,30.375,29.875,29.875,19.511781692504883,563400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,30.125,30.1875,29.75,30.09375,19.65464973449707,871400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,29.90625,31.5625,29.875,31.125,20.32817840576172,879800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,31.03125,31.3125,30.0625,30.3125,19.797523498535156,1448600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,30.3125,30.75,29.375,29.8125,19.47096061706543,1359800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,30.0,30.09375,29.6875,29.78125,19.450557708740234,485400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.159375,0.0
10,1999-12-30 00:00:00-05:00,29.78125,30.71875,29.625,30.53125,19.940387725830078,573800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.226988636363636,1.0
11,1999-12-31 00:00:00-05:00,30.34375,30.84375,30.34375,30.8125,20.124074935913086,261600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.333445247933884,1.0
12,2000-01-03 00:00:00-05:00,30.5,30.53125,28.75,29.21875,19.083175659179688,778600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.130773384673176,0.0
13,2000-01-04 00:00:00-05:00,28.96875,29.0625,27.875,27.875,18.20555305480957,1267800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.720632769278055,0.0
14,2000-01-05 00:00:00-05:00,27.8125,28.21875,27.1875,27.5,17.960630416870117,2723000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.316881356682046,0.0
15,2000-01-06 00:00:00-05:00,27.6875,27.71875,26.75,26.75,17.470806121826172,1864000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.85017565546713,0.0
16,2000-01-07 00:00:00-05:00,26.8125,27.59375,26.71875,27.0,17.634075164794922,3660000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.513780081745832,0.0
17,2000-01-10 00:00:00-05:00,27.4375,29.40625,27.28125,28.875,18.85866928100586,1735200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57945643051932,1.0
18,2000-01-11 00:00:00-05:00,29.5,29.5,28.75,29.03125,18.960716247558594,1713400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.66160071587944,1.0
19,2000-01-12 00:00:00-05:00,29.0,29.59375,28.75,29.25,19.103588104248047,1228800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.768582403901362,1.0
20,2000-01-13 00:00:00-05:00,29.375,30.84375,29.3125,30.59375,19.981204986572266,1551400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.100431057737477,1.0
21,2000-01-14 00:00:00-05:00,30.46875,30.75,28.9375,29.375,19.185224533081055,1548000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.15035268360339,1.0
22,2000-01-18 00:00:00-05:00,28.75,28.96875,28.25,28.40625,18.552515029907227,978400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.015061286584594,0.0
23,2000-01-19 00:00:00-05:00,28.625,29.125,28.5,28.84375,18.838258743286133,903800,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,28.98391377993285,0.0
24,2000-01-20 00:00:00-05:00,28.96875,29.3125,28.5,28.75,18.77703094482422,705200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.94138400176324,0.0
25,2000-01-21 00:00:00-05:00,28.75,29.21875,28.3125,29.125,19.021940231323242,802400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.97476872871538,1.0
26,2000-01-24 00:00:00-05:00,29.0,29.0,27.59375,28.09375,18.348417282104492,720600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.814583505312584,0.0
27,2000-01-25 00:00:00-05:00,28.34375,28.5625,27.46875,27.625,18.042278289794922,1083200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59829559525575,0.0
28,2000-01-26 00:00:00-05:00,28.375,29.875,28.0625,29.46875,19.246450424194336,1824200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.756560032481975,1.0
29,2000-01-27 00:00:00-05:00,29.0625,30.09375,28.875,29.8125,19.47096061706543,1752400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.948549117485253,1.0
30,2000-01-28 00:00:00-05:00,29.3125,29.84375,29.0,29.125,19.021940231323242,1287800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.9806310961243,1.0
31,2000-01-31 00:00:00-05:00,28.9375,29.0,28.03125,28.03125,18.307601928710938,892000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.808016351374427,0.0
32,2000-02-01 00:00:00-05:00,28.34375,28.65625,27.9375,28.03125,18.307601928710938,944000,0,0,0,0,100,0,0,0,0,0,0,0,0,0,28.666786105669985,0.0
33,2000-02-02 00:00:00-05:00,28.375,29.0,28.375,28.8125,18.817848205566406,882000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.693279541002713,1.0
34,2000-02-03 00:00:00-05:00,28.8125,29.6875,28.71875,29.4375,19.226045608520508,1086400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.828592351729494,1.0
35,2000-02-04 00:00:00-05:00,29.46875,29.65625,28.59375,28.75,18.77703094482422,843000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,28.81430283323322,0.0
36,2000-02-07 00:00:00-05:00,28.3125,28.78125,28.09375,28.09375,18.348417282104492,809200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,28.683293227190816,0.0
37,2000-02-08 00:00:00-05:00,28.21875,28.75,28.0,28.0625,18.328014373779297,1893400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,28.57042173133794,0.0
38,2000-02-09 00:00:00-05:00,28.0625,28.0625,26.75,27.5625,18.001453399658203,1887200,0,0,0,0,0,0,0,0,0,0,0,0,100,0,28.38716323473104,0.0
39,2000-02-10 00:00:00-05:00,27.5,28.0,27.1875,27.75,18.1239070892334,1110800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.271315373870852,0.0
40,2000-02-11 00:00:00-05:00,28.0625,28.0625,27.3125,27.5625,18.001453399658203,1109800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.14243985134888,0.0
