,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,21.53125,21.71875,20.8125,20.90625,10.995925903320312,9130200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,19.28125,20.3125,19.25,19.71875,10.37134075164795,17140200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,19.71875,20.28125,19.625,19.96875,10.502835273742676,13563600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,19.96875,20.46875,19.9375,20.328125,10.691848754882812,7313400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,20.15625,20.65625,19.75,20.0,10.519267082214355,10431400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,20.0,20.34375,20.0,20.21875,10.634320259094238,5534200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,20.40625,20.78125,20.15625,20.75,10.91374397277832,5432200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,20.53125,21.0,20.40625,20.4375,10.749378204345703,5081200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,20.5625,20.71875,20.375,20.59375,10.831558227539062,4976400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,20.625,20.71875,20.125,20.28125,10.667197227478027,4406000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3203125,0.0
10,1999-12-30 00:00:00-05:00,20.3125,20.5625,20.25,20.3125,10.683633804321289,2657600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.318892045454547,0.0
11,1999-12-31 00:00:00-05:00,20.28125,20.3125,20.0625,20.21875,10.634320259094238,2356800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.300684400826448,0.0
12,2000-01-03 00:00:00-05:00,20.15625,20.1875,19.0,19.5625,10.289164543151855,9037000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16646905522164,0.0
13,2000-01-04 00:00:00-05:00,18.625,18.84375,18.0,18.59375,9.779632568359375,15237200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.880520136090432,0.0
14,2000-01-05 00:00:00-05:00,18.5,18.875,18.03125,18.40625,9.681013107299805,8228200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.612471020437628,0.0
15,2000-01-06 00:00:00-05:00,18.53125,19.5,18.46875,19.21875,10.108359336853027,8326800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.54088538035806,0.0
16,2000-01-07 00:00:00-05:00,19.625,19.84375,19.28125,19.5625,10.289164543151855,7711200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.544815311202047,1.0
17,2000-01-10 00:00:00-05:00,19.1875,19.3125,18.875,18.9375,9.960432052612305,8953200,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,19.434394345528947,0.0
18,2000-01-11 00:00:00-05:00,18.90625,19.0,18.53125,18.625,9.79606819152832,6170800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.287231737250956,0.0
19,2000-01-12 00:00:00-05:00,18.65625,19.3125,18.65625,19.15625,10.075490951538086,7030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2634168759326,0.0
20,2000-01-13 00:00:00-05:00,19.9375,20.25,19.84375,20.21875,10.634320259094238,11077000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.437113807581216,1.0
21,2000-01-14 00:00:00-05:00,21.875,21.875,20.5625,20.84375,10.96304988861084,11497400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.692865842566448,1.0
22,2000-01-18 00:00:00-05:00,19.875,20.125,19.25,19.4375,10.223409652709961,12744000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64643568937255,0.0
23,2000-01-19 00:00:00-05:00,19.1875,19.46875,18.25,18.375,9.664579391479492,17140600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.415265564032087,0.0
24,2000-01-20 00:00:00-05:00,18.40625,18.65625,17.90625,18.1875,9.565958023071289,14965200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1920354614808,0.0
25,2000-01-21 00:00:00-05:00,18.25,18.8125,18.03125,18.3125,9.631699562072754,14016600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.032119923029743,0.0
26,2000-01-24 00:00:00-05:00,18.5,18.71875,17.71875,17.9375,9.434467315673828,9540000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,18.833098118842518,0.0
27,2000-01-25 00:00:00-05:00,17.90625,19.0,17.90625,18.8125,9.894683837890625,10701000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,18.829353006325697,0.0
28,2000-01-26 00:00:00-05:00,18.71875,19.25,18.5,19.0,9.993304252624512,14587200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.860379732448298,1.0
29,2000-01-27 00:00:00-05:00,19.3125,19.875,19.09375,19.5,10.256287574768066,10255000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.976674326548608,1.0
30,2000-01-28 00:00:00-05:00,19.4375,19.5625,19.09375,19.375,10.190543174743652,8089000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.049097176267043,1.0
31,2000-01-31 00:00:00-05:00,19.15625,20.0,19.15625,20.0,10.519267082214355,9267400,0,0,0,0,0,0,0,0,0,0,0,0,0,100,19.221988598763943,1.0
32,2000-02-01 00:00:00-05:00,20.0,20.34375,19.90625,20.21875,10.634320259094238,9528800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.403217944443227,1.0
33,2000-02-02 00:00:00-05:00,20.21875,20.25,19.5,19.5,10.312393188476562,6637600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.420814681817188,1.0
34,2000-02-03 00:00:00-05:00,19.65625,19.8125,19.03125,19.4375,10.27933406829834,10805600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.423848376032243,1.0
35,2000-02-04 00:00:00-05:00,19.5625,19.5625,19.21875,19.28125,10.196707725524902,7146800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.397921398571835,0.0
36,2000-02-07 00:00:00-05:00,19.125,19.3125,19.0,19.09375,10.097546577453613,8873200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.342617507922412,0.0
37,2000-02-08 00:00:00-05:00,19.15625,19.78125,19.15625,19.46875,10.29586410522461,8445000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.365550688300157,1.0
38,2000-02-09 00:00:00-05:00,19.21875,19.3125,18.875,18.9375,10.014915466308594,9003600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2877232904274,0.0
39,2000-02-10 00:00:00-05:00,18.9375,19.03125,18.34375,18.375,9.717445373535156,14250800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.121773601258784,0.0
40,2000-02-11 00:00:00-05:00,18.84375,19.3125,18.5625,18.9375,10.014915466308594,11174800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.088269310120822,0.0
41,2000-02-14 00:00:00-05:00,19.1875,19.3125,18.8125,18.90625,9.99838924407959,8303800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.055174890098854,0.0
42,2000-02-15 00:00:00-05:00,18.6875,18.96875,18.375,18.84375,9.965340614318848,7574600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.01673400098997,0.0
43,2000-02-16 00:00:00-05:00,18.875,18.875,18.0,18.0,9.51913070678711,7861000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,18.831873273537248,0.0
44,2000-02-17 00:00:00-05:00,18.53125,18.5625,17.1875,17.46875,9.238181114196777,9629000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.584032678348656,0.0
45,2000-02-18 00:00:00-05:00,17.375,17.375,16.375,16.75,8.858078956604004,20619200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.250572191376172,0.0
46,2000-02-22 00:00:00-05:00,16.875,17.5,16.375,17.5,9.254711151123047,10546000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.114104520216866,0.0
47,2000-02-23 00:00:00-05:00,17.125,17.34375,16.375,17.0,8.990287780761719,8786200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.911540061995616,0.0
48,2000-02-24 00:00:00-05:00,16.5625,16.78125,16.0,16.4375,8.692818641662598,9797200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.643532777996413,0.0
49,2000-02-25 00:00:00-05:00,16.59375,16.9375,16.125,16.34375,8.64323902130127,8026800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.40720863654252,0.0
50,2000-02-28 00:00:00-05:00,16.6875,17.28125,16.5,17.0625,9.023341178894043,8663600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.344534338989334,0.0
51,2000-02-29 00:00:00-05:00,17.0625,17.09375,16.3125,16.53125,8.74239444732666,11133400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.196664459173093,0.0
52,2000-03-01 00:00:00-05:00,16.53125,17.46875,16.53125,17.34375,9.172080039978027,11305800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.223407284777984,1.0
53,2000-03-02 00:00:00-05:00,17.78125,17.84375,16.71875,16.96875,8.973764419555664,10556200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.177105960272897,0.0
54,2000-03-03 00:00:00-05:00,17.3125,17.5,17.03125,17.34375,9.172080039978027,8831400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.207404876586917,1.0
55,2000-03-06 00:00:00-05:00,17.34375,17.75,17.21875,17.21875,9.105976104736328,7545400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.209467626298387,1.0
56,2000-03-07 00:00:00-05:00,17.34375,17.34375,16.3125,16.53125,8.74239444732666,8782600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08615533060777,0.0
57,2000-03-08 00:00:00-05:00,16.40625,16.96875,15.5,15.5,8.197028160095215,9310400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.797763452315447,0.0
58,2000-03-09 00:00:00-05:00,17.15625,17.15625,16.125,16.40625,8.676290512084961,9146600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.726579188258093,0.0
59,2000-03-10 00:00:00-05:00,16.5,16.625,16.0,16.09375,8.511026382446289,8554000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.61151933584753,0.0
60,2000-03-13 00:00:00-05:00,15.875,16.46875,15.6875,16.3125,8.626709938049316,8542400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55715218387525,0.0
61,2000-03-14 00:00:00-05:00,16.21875,16.28125,15.90625,15.9375,8.428396224975586,7903800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.444488150443387,0.0
62,2000-03-15 00:00:00-05:00,16.0,18.0,16.0,18.0,9.51913070678711,15288600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.727308486726407,1.0
63,2000-03-16 00:00:00-05:00,17.9375,19.375,17.75,19.25,10.180184364318848,19621600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.18597967095797,1.0
64,2000-03-17 00:00:00-05:00,19.0625,19.78125,19.03125,19.25,10.180184364318848,14195400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.561256094420155,1.0
65,2000-03-20 00:00:00-05:00,19.25,19.28125,18.6875,18.96875,10.031447410583496,10822200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.817164077252855,1.0
66,2000-03-21 00:00:00-05:00,18.84375,19.96875,18.84375,19.78125,10.461129188537598,12409200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,18.174270608661427,1.0
67,2000-03-22 00:00:00-05:00,19.71875,20.125,19.59375,20.0,10.576811790466309,10333800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.50622140708662,1.0
68,2000-03-23 00:00:00-05:00,19.9375,20.96875,19.875,20.71875,10.956917762756348,12593200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.90849933307087,1.0
69,2000-03-24 00:00:00-05:00,20.6875,21.3125,20.375,20.5,10.841229438781738,12729000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.197863090694348,1.0
70,2000-03-27 00:00:00-05:00,20.4375,20.90625,20.125,20.453125,10.81644058227539,14213400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.426092528749923,1.0
71,2000-03-28 00:00:00-05:00,20.25,20.625,20.125,20.34375,10.758600234985352,11255800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.592939341704483,1.0
72,2000-03-29 00:00:00-05:00,20.125,20.34375,19.40625,19.71875,10.428072929382324,10821000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61581400684912,1.0
73,2000-03-30 00:00:00-05:00,20.125,20.40625,19.59375,19.59375,10.361971855163574,9668200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.61180236924019,0.0
74,2000-03-31 00:00:00-05:00,19.71875,20.65625,19.375,20.375,10.775128364562988,10090800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.750565574832883,1.0
75,2000-04-03 00:00:00-04:00,20.46875,22.1875,20.3125,21.84375,11.551863670349121,15408800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.131144561226904,1.0
76,2000-04-04 00:00:00-04:00,21.84375,22.75,21.0,21.625,11.436172485351562,16863600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.40275464100383,1.0
77,2000-04-05 00:00:00-04:00,21.71875,21.71875,20.8125,21.21875,11.22133731842041,8731200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55111743354859,1.0
78,2000-04-06 00:00:00-04:00,20.75,21.0,19.8125,20.25,10.709017753601074,13575200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49636880926703,0.0
79,2000-04-07 00:00:00-04:00,20.0,20.21875,19.8125,19.875,10.510705947875977,9817800,0,0,0,100,0,0,0,0,0,0,0,0,0,0,20.38339266212757,0.0
80,2000-04-10 00:00:00-04:00,19.0,20.0625,18.9375,19.75,10.444602012634277,15029600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.26823035992256,0.0
