,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2013-01-02 00:00:00-05:00,34.91999816894531,35.400001525878906,34.099998474121094,35.119998931884766,22.895278930664062,13767900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2013-01-03 00:00:00-05:00,35.0,35.0,34.15999984741211,34.83000183105469,22.70623207092285,16739300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2013-01-04 00:00:00-05:00,34.619998931884766,34.88999938964844,34.25,34.38999938964844,22.419382095336914,21372100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2013-01-07 00:00:00-05:00,34.150001525878906,35.45000076293945,34.150001525878906,34.459999084472656,22.46502113342285,17897100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2013-01-08 00:00:00-05:00,34.290000915527344,34.63999938964844,33.36000061035156,33.709999084472656,21.976083755493164,17863300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2013-01-09 00:00:00-05:00,33.61000061035156,33.95000076293945,33.61000061035156,33.900001525878906,22.099946975708008,18800400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2013-01-10 00:00:00-05:00,33.65999984741211,34.0,33.33000183105469,34.0,22.165138244628906,15658100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2013-01-11 00:00:00-05:00,33.59000015258789,33.900001525878906,33.349998474121094,33.849998474121094,22.33005142211914,11191500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2013-01-14 00:00:00-05:00,34.0099983215332,34.25,33.79999923706055,34.09000015258789,22.48837661743164,11584900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2013-01-15 00:00:00-05:00,33.709999084472656,34.720001220703125,33.709999084472656,34.599998474121094,22.824813842773438,13040200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.29499969482422,1.0
10,2013-01-16 00:00:00-05:00,34.470001220703125,35.540000915527344,34.45000076293945,35.540000915527344,23.444910049438477,16512700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.52136355313388,1.0
11,2013-01-17 00:00:00-05:00,35.75,36.70000076293945,35.75,36.41999816894531,24.025423049926758,14424800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.86656984691778,1.0
