,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,14.982067108154297,15.795700073242188,14.982067108154297,15.795700073242188,9.224326133728027,13586518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,15.87986946105957,18.404935836791992,15.599306106567383,17.731584548950195,10.35483455657959,20262157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,17.89992332458496,17.984092712402344,16.609333038330078,16.7215576171875,9.76500129699707,51506025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,16.609333038330078,16.946008682250977,16.553220748901367,16.812740325927734,9.818251609802246,14984154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,16.805727005004883,17.0582332611084,16.77766990661621,16.917951583862305,9.879693031311035,12308062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,16.805727005004883,16.946008682250977,16.637388229370117,16.833782196044922,9.830541610717773,10555114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,16.66544532775879,16.833782196044922,16.525163650512695,16.637388229370117,9.715851783752441,11832679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,16.609333038330078,16.693500518798828,16.469051361083984,16.693500518798828,9.748620986938477,9950749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,16.749614715576172,16.805727005004883,16.553220748901367,16.637388229370117,9.715851783752441,6123624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,16.7215576171875,16.7215576171875,16.27265739440918,16.32876968383789,9.535628318786621,6532400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.71103630065918,0.0
10,1999-12-30 00:00:00-05:00,16.3848819732666,16.525163650512695,16.32876968383789,16.469051361083984,9.617547988891602,5524159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.667039038918237,0.0
