,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,62.876766204833984,65.37518310546875,62.638824462890625,64.24494934082031,27.595735549926758,5513581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,62.57933807373047,62.93625259399414,60.25938034057617,61.44910430908203,26.39480972290039,6335623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,60.55681228637695,60.85424041748047,59.01017379760742,59.129146575927734,25.398303985595703,7900275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,59.18863296508789,59.842979431152344,57.04713439941406,58.45992660522461,25.110841751098633,4945906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,57.404048919677734,58.65325927734375,57.04713439941406,57.22559356689453,24.58063507080078,5337070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,57.701480865478516,61.27064514160156,57.701480865478516,60.14040756225586,25.832679748535156,3912681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,61.74653244018555,64.72083282470703,61.56807327270508,63.47163009643555,27.263565063476562,4994762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,62.817283630371094,64.72083282470703,62.460365295410156,64.72083282470703,27.800151824951172,3504918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,64.72083282470703,64.72083282470703,62.9957389831543,64.00700378417969,27.493534088134766,2856236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,63.29317092895508,63.41214370727539,61.50859069824219,62.341392517089844,26.778074264526367,1953189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.51899871826172,1.0
10,1999-12-30 00:00:00-05:00,61.627559661865234,62.57933807373047,61.389617919921875,62.103450775146484,26.67587661743164,2202722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.625262728604405,1.0
11,1999-12-31 00:00:00-05:00,62.28190612792969,62.28190612792969,61.092185974121094,61.092185974121094,26.241506576538086,1181054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.52833968233471,0.0
12,2000-01-03 00:00:00-05:00,61.15167236328125,61.74653244018555,60.55681228637695,61.33013153076172,26.343704223632812,3568588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.492301836594166,0.0
13,2000-01-04 00:00:00-05:00,57.93942642211914,58.117881774902344,56.09535598754883,56.69021987915039,24.350679397583008,10592082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.619196026149844,0.0
14,2000-01-05 00:00:00-05:00,57.10662078857422,57.34456253051758,55.678955078125,56.09535598754883,24.194692611694336,7222700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79667965549511,0.0
15,2000-01-06 00:00:00-05:00,56.154842376708984,57.166107177734375,55.441009521484375,56.868675231933594,24.528217315673828,7321988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.264315214847564,0.0
16,2000-01-07 00:00:00-05:00,58.53428649902344,66.14849853515625,58.29634094238281,65.19672393798828,28.120222091674805,10913586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.34293498269133,1.0
17,2000-01-10 00:00:00-05:00,65.3156967163086,65.3156967163086,63.5311164855957,64.48289489746094,27.812339782714844,7113431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.095654967194896,1.0
18,2000-01-11 00:00:00-05:00,64.48289489746094,64.72083282470703,63.29317092895508,63.59060287475586,27.427478790283203,5687572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.54928185947871,1.0
19,2000-01-12 00:00:00-05:00,63.59060287475586,64.36392211914062,63.352657318115234,63.41214370727539,27.35051155090332,3727974,0,0,0,0,0,0,0,0,0,0,100,0,0,0,61.88798401362356,1.0
20,2000-01-13 00:00:00-05:00,64.00700378417969,64.06649017333984,61.924991607666016,62.22241973876953,26.837364196777344,4402082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.94879050910465,1.0
21,2000-01-14 00:00:00-05:00,64.1259765625,64.1259765625,62.57933807373047,63.94751739501953,27.58142852783203,4535936,0,0,0,0,0,0,0,0,0,0,0,100,0,0,62.31219539745281,1.0
22,2000-01-18 00:00:00-05:00,62.460365295410156,63.41214370727539,61.86550521850586,62.162933349609375,26.811721801757812,3782399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.28505684329946,0.0
