,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2004-06-23 00:00:00-04:00,3.75,4.324999809265137,3.6875,4.300000190734863,4.300000190734863,43574400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2004-06-24 00:00:00-04:00,4.387499809265137,4.422500133514404,4.125,4.190000057220459,4.190000057220459,8887200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2004-06-25 00:00:00-04:00,4.127500057220459,4.1875,3.947499990463257,3.950000047683716,3.950000047683716,6710000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2004-06-28 00:00:00-04:00,4.0,4.052499771118164,3.859999895095825,4.0,4.0,2270800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2004-06-29 00:00:00-04:00,4.0,4.175000190734863,3.9574999809265137,4.099999904632568,4.099999904632568,2112000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2004-06-30 00:00:00-04:00,4.099999904632568,4.235000133514404,4.007500171661377,4.017499923706055,4.017499923706055,2087600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2004-07-01 00:00:00-04:00,4.019999980926514,4.050000190734863,3.9749999046325684,4.007500171661377,4.007500171661377,1754800,0,0,0,0,100,0,0,0,0,0,0,0,0,0,,
7,2004-07-02 00:00:00-04:00,4.025000095367432,4.244999885559082,4.012499809265137,4.244999885559082,4.244999885559082,993200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2004-07-06 00:00:00-04:00,4.232500076293945,4.25,4.119999885559082,4.25,4.25,1216800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2004-07-07 00:00:00-04:00,4.224999904632568,4.224999904632568,4.012499809265137,4.077499866485596,4.077499866485596,1787600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.113750004768372,0.0
10,2004-07-08 00:00:00-04:00,4.077499866485596,4.077499866485596,3.9149999618530273,3.934999942779541,3.934999942779541,2179200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.081249993497676,0.0
11,2004-07-09 00:00:00-04:00,3.984999895095825,4.142499923706055,3.9749999046325684,4.099999904632568,4.099999904632568,596800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.084659068249475,1.0
12,2004-07-12 00:00:00-04:00,4.150000095367432,4.207499980926514,4.037499904632568,4.1875,4.1875,780800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.103357419476843,1.0
