,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,10.96875,10.984375,10.71875,10.90625,6.98543643951416,6534400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,10.9375,10.984375,10.84375,10.953125,7.015460968017578,3441200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,11.0,11.234375,10.984375,11.078125,7.095524787902832,3628800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,11.25,11.28125,10.625,10.65625,6.82531213760376,3997200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,10.65625,10.65625,9.75,10.15625,6.505067348480225,8154400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,10.125,10.15625,10.0,10.15625,6.505067348480225,4984800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,10.28125,10.609375,10.28125,10.484375,6.715226173400879,3188800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,10.453125,10.5625,10.4375,10.5,6.72523832321167,3828000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,10.5625,10.921875,10.515625,10.796875,6.9153828620910645,3629200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,10.796875,10.90625,10.796875,10.875,6.965424060821533,2596400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65625,1.0
10,1999-12-30 00:00:00-05:00,10.90625,10.90625,10.640625,10.765625,6.895366668701172,2278400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.676136363636363,1.0
