,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,65.0,65.0625,63.6875,63.75,35.16264343261719,1602800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,63.75,64.0625,63.25,64.0,35.300540924072266,1364600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,64.75,67.625,64.6875,66.625,36.748435974121094,1980800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,67.6875,68.5,66.9375,68.5,37.78261947631836,1501300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,68.25,69.0,67.5,69.0,38.05840301513672,1265200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,68.9375,68.9375,66.0625,67.0,36.955265045166016,1264700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,66.5,67.875,65.625,67.75,37.36894989013672,1180600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,68.5,69.6875,67.5,69.6875,38.4376106262207,1478800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,69.5,69.6875,68.0625,69.0,38.05840301513672,1051400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,69.0,69.375,67.5625,68.0,37.506839752197266,904700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.33125,1.0
10,1999-12-30 00:00:00-05:00,69.25,69.5,68.0,68.0,37.506839752197266,926700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.45284090909091,1.0
11,1999-12-31 00:00:00-05:00,68.875,69.5,68.375,69.0,38.05840301513672,649300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.73414256198348,1.0
12,2000-01-03 00:00:00-05:00,69.6875,69.75,67.0,67.0625,36.989723205566406,1273200,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,67.61202573253193,0.0
13,2000-01-04 00:00:00-05:00,67.0,67.0,64.625,64.9375,35.81764602661133,1385800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.12574832661704,0.0
14,2000-01-05 00:00:00-05:00,64.875,68.0,64.75,68.0,37.506839752197266,1401700,0,0,0,0,0,0,0,0,0,0,0,0,0,100,67.28470317632303,1.0
15,2000-01-06 00:00:00-05:00,65.875,68.125,65.0,68.0,37.506839752197266,1959100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.4147571442643,1.0
16,2000-01-07 00:00:00-05:00,67.625,67.625,65.75,66.375,36.61054229736328,996000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2257103907617,0.0
17,2000-01-10 00:00:00-05:00,66.875,67.4375,66.4375,67.0625,36.989723205566406,1191700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.19603577425957,0.0
18,2000-01-11 00:00:00-05:00,67.125,67.4375,65.25,65.25,35.990013122558594,1020000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,66.84221108803055,0.0
19,2000-01-12 00:00:00-05:00,66.125,67.5,65.4375,67.375,37.16209411621094,1097700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.93908179929772,1.0
20,2000-01-13 00:00:00-05:00,67.625,68.5,67.375,68.3125,37.67921447753906,1071200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.18879419942542,1.0
21,2000-01-14 00:00:00-05:00,68.875,69.25,68.3125,69.0625,38.0928840637207,1160000,0,0,0,0,0,0,0,0,0,0,0,100,0,0,67.52946798134806,1.0
22,2000-01-18 00:00:00-05:00,69.0,69.0,67.375,68.6875,37.88603973388672,980500,0,0,100,0,0,0,0,0,0,0,0,0,0,0,67.7400192574666,1.0
23,2000-01-19 00:00:00-05:00,68.5,68.5625,67.4375,68.25,37.644737243652344,1087300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.8327430288363,1.0
24,2000-01-20 00:00:00-05:00,68.125,69.125,68.125,68.875,37.98945617675781,1972000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,68.02224429632061,1.0
25,2000-01-21 00:00:00-05:00,68.875,68.875,66.6875,67.25,37.09315490722656,1270100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.88183624244414,0.0
26,2000-01-24 00:00:00-05:00,67.875,68.25,66.0,66.0,36.403682708740234,831400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.53968419836339,0.0
27,2000-01-25 00:00:00-05:00,65.625,66.625,64.75,65.875,36.334739685058594,1263000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2370143441155,0.0
28,2000-01-26 00:00:00-05:00,65.25,65.625,64.5,65.125,35.92106246948242,933400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.8530117360945,0.0
29,2000-01-27 00:00:00-05:00,65.3125,65.375,64.0,65.125,35.92106246948242,1128400,0,0,0,0,100,0,0,0,0,0,0,0,0,0,66.53882778407731,0.0
30,2000-01-28 00:00:00-05:00,65.125,65.875,64.0,64.9375,35.81764602661133,1324700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.24767727788144,0.0
31,2000-01-31 00:00:00-05:00,63.0,64.0,59.0,60.0,33.094268798828125,5745800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.11173595463026,0.0
32,2000-02-01 00:00:00-05:00,59.6875,61.5,58.3125,61.375,33.8526611328125,4761000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.43232941742475,0.0
33,2000-02-02 00:00:00-05:00,59.75,59.9375,57.1875,58.25,32.12903594970703,4740600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.308269523347526,0.0
34,2000-02-03 00:00:00-05:00,59.25,59.5,57.375,57.625,31.78428840637207,1951900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.274947791829796,0.0
35,2000-02-04 00:00:00-05:00,58.1875,58.1875,56.0625,56.375,31.094812393188477,1745200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.20223001149711,0.0
36,2000-02-07 00:00:00-05:00,56.625,56.8125,55.5,55.75,30.75008201599121,1480200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.210915463952176,0.0
37,2000-02-08 00:00:00-05:00,56.25,59.375,55.75,59.375,32.7495231628418,2055100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.05893083414269,0.0
38,2000-02-09 00:00:00-05:00,59.5,59.625,58.0,58.0,31.991127014160156,1209400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.68457977338947,0.0
39,2000-02-10 00:00:00-05:00,58.0625,58.5,56.5,57.0625,31.47402572631836,995700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.207837996409566,0.0
40,2000-02-11 00:00:00-05:00,56.8125,57.0,55.125,55.125,30.405353546142578,1013900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.46550381524419,0.0
41,2000-02-14 00:00:00-05:00,55.3125,55.5,54.125,54.375,29.991683959960938,2052800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.72177584883615,0.0
42,2000-02-15 00:00:00-05:00,54.4375,55.0,53.5625,54.9375,30.30192756652832,1182900,0,0,0,0,0,0,0,0,0,0,0,0,100,0,57.21554387632049,0.0
43,2000-02-16 00:00:00-05:00,55.1875,56.4375,54.5,56.0,30.88799285888672,1530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.99453589880767,0.0
44,2000-02-17 00:00:00-05:00,56.5,58.25,56.125,58.0,31.991127014160156,1036000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.17734755356991,1.0
45,2000-02-18 00:00:00-05:00,58.0,59.4375,55.25,56.9375,31.40507698059082,1529200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.13373890746629,0.0
46,2000-02-22 00:00:00-05:00,56.9375,56.9375,54.5625,55.0,30.336416244506836,1226000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.74578637883605,0.0
47,2000-02-23 00:00:00-05:00,55.0625,56.25,54.0625,54.9375,30.30192756652832,855700,0,0,0,0,100,0,0,0,0,0,0,0,0,0,56.417007037229496,0.0
48,2000-02-24 00:00:00-05:00,55.0,55.0,53.8125,54.0625,29.911863327026367,1049300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.98891484864232,0.0
49,2000-02-25 00:00:00-05:00,54.9375,55.75,54.0625,55.5,30.70722007751465,961700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.90002123979826,0.0
50,2000-02-28 00:00:00-05:00,55.5625,55.625,54.5,55.0,30.430574417114258,565600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.73638101438039,0.0
51,2000-02-29 00:00:00-05:00,55.0,55.3125,54.5,54.625,30.22308921813965,750900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5343117390385,0.0
52,2000-03-01 00:00:00-05:00,54.625,54.6875,51.875,52.5,29.04737663269043,1471000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.98261869557695,0.0
53,2000-03-02 00:00:00-05:00,52.125,53.625,52.0625,53.3125,29.496902465820312,1136600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.6789607509266,0.0
54,2000-03-03 00:00:00-05:00,53.3125,53.5,52.5625,52.6875,29.151105880737305,1030700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.316876978030855,0.0
55,2000-03-06 00:00:00-05:00,54.375,54.375,52.5,52.75,29.18570327758789,1431500,0,0,0,0,100,0,0,0,0,0,0,0,0,0,54.031990254752515,0.0
56,2000-03-07 00:00:00-05:00,52.75,52.8125,49.0,50.625,28.009963989257812,2319100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.412537481161145,0.0
57,2000-03-08 00:00:00-05:00,52.75,54.5,51.3125,54.3125,30.050193786621094,2275300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.576167030040935,1.0
58,2000-03-09 00:00:00-05:00,54.5,54.5,52.4375,53.0,29.324010848999023,1199700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.471409388215314,0.0
59,2000-03-10 00:00:00-05:00,53.75,54.375,53.0625,53.4375,29.566083908081055,776700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.465244044903436,0.0
60,2000-03-13 00:00:00-05:00,52.25,54.1875,52.125,52.75,29.18570327758789,671700,0,0,0,100,0,0,0,0,0,0,0,0,0,0,53.335199673102814,0.0
61,2000-03-14 00:00:00-05:00,52.5,53.5,52.3125,52.5625,29.08194351196289,1072500,0,0,0,0,0,0,0,0,0,0,100,0,0,0,53.194708823447755,0.0
62,2000-03-15 00:00:00-05:00,52.9375,55.375,51.625,54.9375,30.39599609375,2274800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.51157994645725,1.0
63,2000-03-16 00:00:00-05:00,55.875,57.625,55.0625,56.25,31.122167587280273,1635300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.00947450164684,1.0
64,2000-03-17 00:00:00-05:00,57.0625,57.0625,55.5,55.5,30.70722007751465,622400,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,54.280479137711055,1.0
65,2000-03-20 00:00:00-05:00,56.5,56.875,55.25,56.5625,31.295087814331055,843400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.69539202176359,1.0
66,2000-03-21 00:00:00-05:00,56.3125,58.375,55.25,58.1875,32.194156646728516,889000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.3303207450793,1.0
