,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2019-03-20 00:00:00-04:00,52.75,53.5,49.5,49.79999923706055,40.302852630615234,2350800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2019-03-21 00:00:00-04:00,49.9900016784668,50.0,48.20000076293945,48.97999954223633,39.63922119140625,1764700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2019-03-22 00:00:00-04:00,48.79999923706055,49.95000076293945,48.15999984741211,48.599998474121094,39.33169174194336,844700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2019-03-25 00:00:00-04:00,48.599998474121094,49.400001525878906,48.0,49.150001525878906,39.77681350708008,440900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2019-03-26 00:00:00-04:00,49.0,49.75,48.18000030517578,48.849998474121094,39.534019470214844,504700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2019-03-27 00:00:00-04:00,49.0,50.779998779296875,49.0,50.099998474121094,40.54563903808594,1788600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2019-03-28 00:00:00-04:00,50.900001525878906,51.0,49.915000915527344,50.849998474121094,41.15260696411133,585400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,2019-03-29 00:00:00-04:00,49.52000045776367,52.47999954223633,49.18000030517578,51.630001068115234,41.783851623535156,1769000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,
8,2019-04-01 00:00:00-04:00,52.29999923706055,54.38999938964844,51.25,53.5,43.2972412109375,19663400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2019-04-02 00:00:00-04:00,55.119998931884766,57.38999938964844,54.29999923706055,56.25,45.52279281616211,17414200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.77099952697754,1.0
10,2019-04-03 00:00:00-04:00,57.08000183105469,57.20000076293945,55.5099983215332,56.880001068115234,46.03264617919922,15066200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,51.88172707991167,1.0
11,2019-04-04 00:00:00-04:00,57.20000076293945,60.52000045776367,57.099998474121094,59.709999084472656,48.32295227050781,13309200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.30504926255912,1.0
12,2019-04-05 00:00:00-04:00,58.38999938964844,58.97999954223633,56.27000045776367,57.2400016784668,46.323997497558594,17000800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.02049515636052,1.0
13,2019-04-08 00:00:00-04:00,56.5,58.38999938964844,56.27000045776367,57.150001525878906,46.25115966796875,10764600,0,0,0,100,0,0,0,0,0,0,0,0,0,0,54.58949631445477,1.0
14,2019-04-09 00:00:00-04:00,56.79999923706055,57.20000076293945,56.08000183105469,56.27000045776367,45.53898239135742,9179900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.89504252232911,1.0
15,2019-04-10 00:00:00-04:00,55.9900016784668,56.40999984741211,55.099998474121094,55.709999084472656,45.08576583862305,9081900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.04321644271885,1.0
16,2019-04-11 00:00:00-04:00,55.70000076293945,56.209999084472656,54.83000183105469,54.88999938964844,44.42215347290039,7346100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.015358796706046,0.0
17,2019-04-12 00:00:00-04:00,55.93000030517578,58.33000183105469,55.93000030517578,58.29999923706055,47.181846618652344,9281700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.61256614949777,1.0
18,2019-04-15 00:00:00-04:00,58.56999969482422,58.849998474121094,57.290000915527344,57.779998779296875,46.76101303100586,5727300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.00664480946125,1.0
19,2019-04-16 00:00:00-04:00,58.709999084472656,58.9900016784668,57.84000015258789,58.5,47.34370422363281,6681600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.45998211683193,1.0
20,2019-04-17 00:00:00-04:00,58.95000076293945,59.04999923706055,58.20000076293945,58.31999969482422,47.198036193847656,6420700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.79816713101235,1.0
21,2019-04-18 00:00:00-04:00,58.36000061035156,58.61000061035156,57.54999923706055,57.77000045776367,46.75292205810547,5178800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.97486409951259,1.0
22,2019-04-22 00:00:00-04:00,57.47999954223633,58.40999984741211,57.2599983215332,57.88999938964844,46.85003662109375,4401700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.14125233408274,1.0
23,2019-04-23 00:00:00-04:00,57.290000915527344,57.84000015258789,57.0,57.63999938964844,46.647708892822266,5687200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.23193361691287,1.0
24,2019-04-24 00:00:00-04:00,57.4900016784668,57.88999938964844,55.8650016784668,55.97999954223633,45.304283142089844,5431300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.004309239698955,0.0
25,2019-04-25 00:00:00-04:00,55.7599983215332,55.97999954223633,54.81999969482422,55.33000183105469,44.77824401855469,6260500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.69988971085454,0.0
26,2019-04-26 00:00:00-04:00,55.29999923706055,55.599998474121094,54.95000076293945,55.25,44.7135009765625,4009800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.43627339979008,0.0
27,2019-04-29 00:00:00-04:00,55.04999923706055,55.685001373291016,54.79999923706055,55.5,44.91582107543945,5935200,0,0,0,0,0,0,0,0,0,0,0,0,0,100,56.26604187255552,0.0
28,2019-04-30 00:00:00-04:00,55.7599983215332,57.20500183105469,55.599998474121094,56.72999954223633,45.9112548828125,6454100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.350397812497484,1.0
29,2019-05-01 00:00:00-04:00,56.81999969482422,57.47999954223633,55.880001068115234,56.130001068115234,45.42567825317383,7644400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.310325677155255,0.0
30,2019-05-02 00:00:00-04:00,55.540000915527344,56.4900016784668,52.029998779296875,52.70000076293945,42.649803161621094,13932700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.65390296547965,0.0
31,2019-05-03 00:00:00-04:00,53.20000076293945,53.349998474121094,51.720001220703125,53.29999923706055,43.1353759765625,7401700,0,0,0,0,0,0,0,0,0,0,0,100,0,0,55.22592046940345,0.0
32,2019-05-06 00:00:00-04:00,52.150001525878906,54.029998779296875,51.70000076293945,53.459999084472656,43.264869689941406,6089500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.90484385396149,0.0
33,2019-05-07 00:00:00-04:00,52.86000061035156,53.32500076293945,52.650001525878906,52.95000076293945,42.85212326049805,7330800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.54941783741203,0.0
34,2019-05-08 00:00:00-04:00,53.33000183105469,53.39500045776367,52.310001373291016,52.47999954223633,42.47175598144531,5390700,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,54.1731599655619,0.0
35,2019-05-09 00:00:00-04:00,52.2599983215332,53.13999938964844,51.54999923706055,52.93000030517578,42.835933685302734,4579700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.94713093640079,0.0
