,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,7.90625,8.4375,7.84375,8.4375,5.074112415313721,855200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,8.53125,8.71875,8.375,8.71875,5.243249893188477,1108800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,8.75,8.75,8.5625,8.71875,5.243249893188477,1618400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,8.75,8.75,8.3125,8.40625,5.055321216583252,674800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,8.46875,8.5,8.03125,8.03125,4.82980489730835,853200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,8.53125,8.53125,8.1875,8.3125,4.998943328857422,364600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,8.375,8.53125,8.34375,8.40625,5.055321216583252,925000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,8.4375,9.0,8.4375,8.96875,5.393595218658447,816400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,8.9375,9.1875,8.9375,9.15625,5.506353855133057,725600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,9.15625,10.125,9.15625,10.125,6.088938236236572,1975200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.728125,1.0
10,1999-12-30 00:00:00-05:00,10.125,10.59375,9.75,10.3125,6.201695919036865,1727400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.016193181818181,1.0
11,1999-12-31 00:00:00-05:00,10.375,10.6875,10.375,10.5625,6.3520402908325195,643400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.297339876033057,1.0
12,2000-01-03 00:00:00-05:00,10.53125,10.71875,10.375,10.59375,6.3708319664001465,1455000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53305080766341,1.0
13,2000-01-04 00:00:00-05:00,10.46875,10.5,9.96875,10.0,6.01376485824585,1618200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.617950660815517,1.0
