,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,13.890625,14.3125,13.828125,14.15625,7.4771013259887695,2388400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,14.125,14.15625,13.953125,14.109375,7.452342510223389,2339600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,14.109375,14.1875,13.625,13.625,7.196500778198242,2241600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,13.6875,13.75,13.1875,13.3125,7.031447887420654,1727600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,13.375,14.046875,13.34375,13.8125,7.29553747177124,2303600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,13.75,13.78125,13.40625,13.40625,7.0809645652771,1354400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,13.421875,13.703125,13.328125,13.609375,7.188249111175537,998000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,13.6875,13.75,13.59375,13.59375,7.179996490478516,1149200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,13.609375,14.0625,13.5625,14.0,7.394572734832764,997600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,13.953125,13.953125,13.671875,13.75,7.279423713684082,999200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7375,1.0
10,1999-12-30 00:00:00-05:00,13.765625,13.828125,13.59375,13.59375,7.1967034339904785,525200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.711363636363638,0.0
11,1999-12-31 00:00:00-05:00,13.53125,13.828125,13.53125,13.703125,7.254606246948242,554800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.70986570247934,0.0
