,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,2004-10-29 00:00:00-04:00,12.0,12.010000228881836,12.0,12.0,5.661242961883545,5951800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,2004-11-01 00:00:00-05:00,12.0,12.010000228881836,12.0,12.0,5.661242961883545,764400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,2004-11-02 00:00:00-05:00,12.0,12.010000228881836,12.0,12.0,5.661242961883545,950100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,2004-11-03 00:00:00-05:00,12.020000457763672,12.199999809265137,12.010000228881836,12.149999618530273,5.732010841369629,433600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,2004-11-04 00:00:00-05:00,12.180000305175781,12.180000305175781,12.050000190734863,12.0600004196167,5.689552307128906,311200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,2004-11-05 00:00:00-05:00,12.050000190734863,12.100000381469727,12.0,12.079999923706055,5.698988437652588,391800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,2004-11-08 00:00:00-05:00,12.130000114440918,12.130000114440918,12.0,12.010000228881836,5.665963172912598,91100,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,,
7,2004-11-09 00:00:00-05:00,12.0,12.0600004196167,12.0,12.010000228881836,5.665963172912598,97600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,2004-11-10 00:00:00-05:00,12.0,12.039999961853027,12.0,12.010000228881836,5.665963172912598,177500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,2004-11-11 00:00:00-05:00,12.0,12.020000457763672,12.0,12.020000457763672,5.670682430267334,92700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.03400011062622,0.0
10,2004-11-12 00:00:00-05:00,12.010000228881836,12.380000114440918,12.010000228881836,12.289999961853027,5.798059940338135,354900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.080545538122003,1.0
11,2004-11-15 00:00:00-05:00,12.319999694824219,12.449999809265137,12.199999809265137,12.390000343322754,5.845237731933594,268100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.136810048158504,1.0
12,2004-11-16 00:00:00-05:00,12.489999771118164,12.649999618530273,12.3100004196167,12.5,5.897130012512207,252500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.202844584856958,1.0
13,2004-11-17 00:00:00-05:00,12.550000190734863,12.600000381469727,12.350000381469727,12.510000228881836,5.901848793029785,425000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.258691065588755,1.0
14,2004-11-18 00:00:00-05:00,12.5,12.739999771118164,12.5,12.720000267028809,6.000918865203857,179700,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12.342565465850583,1.0
15,2004-11-19 00:00:00-05:00,12.720000267028809,12.739999771118164,12.5,12.710000038146973,5.996201515197754,202600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.409371751722654,1.0
16,2004-11-22 00:00:00-05:00,12.609999656677246,12.729999542236328,12.510000228881836,12.630000114440918,5.958461761474609,105200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.44948599948961,1.0
17,2004-11-23 00:00:00-05:00,12.550000190734863,12.949999809265137,12.520000457763672,12.800000190734863,6.038663864135742,204200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.513215852443293,1.0
18,2004-11-24 00:00:00-05:00,12.75,12.949999809265137,12.699999809265137,12.789999961853027,6.033941745758057,141700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.563540235972336,1.0
19,2004-11-26 00:00:00-05:00,12.399999618530273,12.779999732971191,12.399999618530273,12.649999618530273,5.967897891998291,42900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.579260123710144,1.0
20,2004-11-29 00:00:00-05:00,12.649999618530273,12.75,12.550000190734863,12.680000305175781,5.982049942016602,174200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59757652034026,1.0
21,2004-11-30 00:00:00-05:00,12.65999984741211,12.850000381469727,12.649999618530273,12.760000228881836,6.019791603088379,148800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.627108103711455,1.0
22,2004-12-01 00:00:00-05:00,12.65999984741211,13.170000076293945,12.65999984741211,13.149999618530273,6.203780174255371,162500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.722179288223968,1.0
23,2004-12-02 00:00:00-05:00,13.050000190734863,13.069999694824219,12.779999732971191,12.949999809265137,6.109429836273193,212800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.763601201140544,1.0
24,2004-12-03 00:00:00-05:00,12.899999618530273,13.199999809265137,12.899999618530273,13.149999618530273,6.203780174255371,138300,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12.833855458847767,1.0
25,2004-12-06 00:00:00-05:00,13.15999984741211,13.1899995803833,13.050000190734863,13.119999885559082,6.189630031585693,126600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.885881718249824,1.0
26,2004-12-07 00:00:00-05:00,13.0600004196167,13.199999809265137,13.0,13.0,6.1330156326293945,116200,0,0,0,100,0,0,0,0,0,0,0,0,0,0,12.906630496749855,1.0
27,2004-12-08 00:00:00-05:00,12.800000190734863,13.0,12.699999809265137,12.859999656677246,6.0669660568237305,112300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.898152162191199,0.0
28,2004-12-09 00:00:00-05:00,12.859999656677246,12.949999809265137,12.5,12.850000381469727,6.062248706817627,139200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.889397292969113,0.0
29,2004-12-10 00:00:00-05:00,12.75,13.050000190734863,12.550000190734863,12.970000267028809,6.118863582611084,186000,0,0,0,0,0,0,0,0,0,0,0,0,0,100,12.904052379161785,1.0
30,2004-12-13 00:00:00-05:00,12.869999885559082,13.039999961853027,12.699999809265137,12.90999984741211,6.090556621551514,215700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.90513373702548,1.0
31,2004-12-14 00:00:00-05:00,12.8100004196167,13.100000381469727,12.789999961853027,12.899999618530273,6.085840225219727,169400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.904200260935442,0.0
