,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,31.5,31.8125,31.375,31.5,11.267341613769531,515800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,31.5,31.6875,31.375,31.5625,11.289695739746094,320400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,31.5625,31.9375,31.5625,31.625,11.312052726745605,543000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,31.625,31.75,31.5625,31.5625,11.289695739746094,440500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,31.5625,32.625,31.5625,32.375,11.580320358276367,632300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,32.125,32.3125,32.0,32.3125,11.557965278625488,263400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,32.3125,32.5625,32.3125,32.5625,11.64738941192627,248100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,32.4375,32.6875,32.4375,32.5625,11.64738941192627,288900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,32.625,32.6875,32.5,32.5,11.62503433227539,248300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,32.6875,32.6875,32.0,32.0,11.446194648742676,300400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.05625,0.0
10,1999-12-30 00:00:00-05:00,32.25,32.8125,32.0625,32.5625,11.64738941192627,467200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.148295454545455,1.0
11,1999-12-31 00:00:00-05:00,32.375,32.6875,32.0625,32.125,11.490896224975586,98700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.14405991735537,0.0
12,2000-01-03 00:00:00-05:00,32.0,32.0,31.125,31.4375,11.244982719421387,396900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.01559447783621,0.0
13,2000-01-04 00:00:00-05:00,31.375,31.9375,31.375,31.8125,11.379119873046875,325500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.978668209138718,0.0
14,2000-01-05 00:00:00-05:00,31.8125,33.125,31.8125,33.0,11.80388355255127,392200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.164364898386225,1.0
15,2000-01-06 00:00:00-05:00,32.75,33.6875,32.75,33.1875,11.870948791503906,433000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.350389462316,1.0
16,2000-01-07 00:00:00-05:00,33.375,33.75,33.0625,33.625,12.027437210083008,250500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.582136832804004,1.0
17,2000-01-10 00:00:00-05:00,33.625,33.8125,33.4375,33.5,11.982726097106934,307700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.74902104502146,1.0
18,2000-01-11 00:00:00-05:00,33.5,33.6875,33.5,33.625,12.027437210083008,223000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.90828994592665,1.0
19,2000-01-12 00:00:00-05:00,33.5625,33.9375,33.5,33.875,12.116863250732422,252500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.08405541030362,1.0
20,2000-01-13 00:00:00-05:00,33.875,34.0,33.625,33.8125,12.09450912475586,222400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.21649988115751,1.0
21,2000-01-14 00:00:00-05:00,33.875,33.875,33.5,33.8125,12.09450912475586,529900,0,0,0,0,100,0,0,0,0,0,0,100,0,0,33.32486353912887,1.0
22,2000-01-18 00:00:00-05:00,33.6875,33.75,33.0,33.0,11.80388355255127,363800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.26579744110544,0.0
