,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,21.5625,21.59375,21.34375,21.46875,8.347057342529297,1731600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,21.375,21.40625,20.71875,20.75,8.067604064941406,1402200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,20.75,20.8125,20.5,20.5,7.97040319442749,2065200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,20.53125,20.71875,20.28125,20.46875,7.958253860473633,2289600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,20.46875,20.8125,20.46875,20.46875,7.958253860473633,2471800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,20.5,20.5,20.28125,20.28125,7.885356903076172,1495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,20.3125,20.4375,20.28125,20.3125,7.897507667541504,1696200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,20.375,20.4375,20.15625,20.15625,7.836750030517578,1163200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,20.09375,20.25,20.03125,20.03125,7.788152694702148,1044200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,20.03125,20.0625,19.75,19.875,7.7274065017700195,1320000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43125,0.0
10,1999-12-30 00:00:00-05:00,19.875,19.9375,19.8125,19.8125,7.703107833862305,1324200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.318749999999998,0.0
11,1999-12-31 00:00:00-05:00,19.8125,19.8125,19.625,19.625,7.6302032470703125,831600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.192613636363635,0.0
12,2000-01-03 00:00:00-05:00,19.5,19.5,19.03125,19.0625,7.41150426864624,2073400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.987138429752065,0.0
13,2000-01-04 00:00:00-05:00,19.0625,19.5625,18.875,19.53125,7.593753337860107,3330800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.904249624342597,0.0
14,2000-01-05 00:00:00-05:00,19.75,20.34375,19.75,20.0625,7.80030632019043,6406600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93302241991667,1.0
15,2000-01-06 00:00:00-05:00,20.3125,20.5625,20.15625,20.28125,7.885356903076172,4833600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.99633652538637,1.0
16,2000-01-07 00:00:00-05:00,20.25,20.46875,20.1875,20.28125,7.885356903076172,3335200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.04813897531612,1.0
17,2000-01-10 00:00:00-05:00,20.5,20.5,20.25,20.28125,7.885356903076172,2612400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.090522797985916,1.0
18,2000-01-11 00:00:00-05:00,20.25,20.46875,20.1875,20.34375,7.909653663635254,2376600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.13656410744302,1.0
19,2000-01-12 00:00:00-05:00,20.34375,20.8125,20.34375,20.5,7.97040319442749,3530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2026433606352,1.0
20,2000-01-13 00:00:00-05:00,20.5,20.8125,20.5,20.78125,8.079753875732422,4820000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.307844567792436,1.0
21,2000-01-14 00:00:00-05:00,20.84375,20.875,20.6875,20.8125,8.091903686523438,3940800,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20.399600100921084,1.0
22,2000-01-18 00:00:00-05:00,20.8125,20.875,20.625,20.78125,8.079753875732422,2310800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.468990991662704,1.0
23,2000-01-19 00:00:00-05:00,20.96875,21.25,20.875,21.125,8.21340560913086,3779800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.58826535681494,1.0
24,2000-01-20 00:00:00-05:00,21.125,21.25,21.0625,21.21875,8.249853134155273,3099800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.70289892830313,1.0
25,2000-01-21 00:00:00-05:00,21.21875,21.3125,21.125,21.15625,8.225554466247559,4584200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.78532639588438,1.0
26,2000-01-24 00:00:00-05:00,21.28125,21.5625,21.15625,21.21875,8.249853134155273,790000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.864130687541763,1.0
27,2000-01-25 00:00:00-05:00,21.21875,21.3125,20.875,21.0,8.164804458618164,1290000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.888834198897808,1.0
28,2000-01-26 00:00:00-05:00,21.3125,21.34375,21.125,21.34375,8.298455238342285,1105600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97154616273457,1.0
29,2000-01-27 00:00:00-05:00,21.34375,21.34375,21.25,21.28125,8.274152755737305,903000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.027855951328284,1.0
30,2000-01-28 00:00:00-05:00,20.375,20.75,20.125,20.3125,7.897507667541504,5532800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.89779123290496,0.0
31,2000-01-31 00:00:00-05:00,20.4375,20.875,20.34375,20.875,8.116209030151367,3462000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.893647372376787,0.0
32,2000-02-01 00:00:00-05:00,20.875,20.875,20.40625,20.53125,7.982553482055664,2273200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.827756941035553,0.0
33,2000-02-02 00:00:00-05:00,20.5625,20.75,20.4375,20.6875,8.043305397033691,1335600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.802255679029088,0.0
34,2000-02-03 00:00:00-05:00,21.125,21.21875,20.9375,20.96875,8.152654647827148,6594800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.832527373751073,1.0
35,2000-02-04 00:00:00-05:00,21.03125,21.125,20.59375,20.59375,8.006857872009277,3685800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.789113305796334,0.0
36,2000-02-07 00:00:00-05:00,20.6875,20.75,20.375,20.4375,7.946102619171143,2388200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.725183613833366,0.0
37,2000-02-08 00:00:00-05:00,20.375,20.65625,20.34375,20.40625,7.933949947357178,2985000,0,0,0,100,0,0,0,0,0,0,100,0,0,0,20.66719568404548,0.0
38,2000-02-09 00:00:00-05:00,20.4375,20.46875,20.28125,20.34375,7.909653663635254,2141000,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,20.608387377855394,0.0
39,2000-02-10 00:00:00-05:00,20.6875,20.6875,20.34375,20.40625,7.933949947357178,1794200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.571635127336233,0.0
40,2000-02-11 00:00:00-05:00,20.28125,20.375,20.125,20.21875,7.861053943634033,1465000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.50747419509328,0.0
41,2000-02-14 00:00:00-05:00,20.125,20.46875,20.03125,20.15625,7.836750030517578,1567600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.443615250530865,0.0
42,2000-02-15 00:00:00-05:00,20.28125,20.375,20.25,20.3125,7.897507667541504,2450400,0,0,0,0,0,0,0,0,0,0,100,0,0,0,20.419776114070707,0.0
43,2000-02-16 00:00:00-05:00,20.375,20.40625,20.28125,20.34375,7.909653663635254,2011800,0,0,0,0,0,0,0,0,0,0,0,100,0,0,20.40595318423967,0.0
44,2000-02-17 00:00:00-05:00,20.34375,20.46875,20.28125,20.40625,7.933949947357178,1638400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.406007150741548,1.0
45,2000-02-18 00:00:00-05:00,20.375,20.46875,20.1875,20.34375,7.909653663635254,2243000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.39468766878854,0.0
46,2000-02-22 00:00:00-05:00,20.3125,20.34375,20.21875,20.3125,7.897507667541504,1809600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.379744456281532,0.0
47,2000-02-23 00:00:00-05:00,20.15625,20.28125,19.5,19.5,7.581604480743408,2969600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2197909187758,0.0
48,2000-02-24 00:00:00-05:00,19.625,19.625,18.90625,19.3125,7.508706569671631,1958400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.054828933543835,0.0
49,2000-02-25 00:00:00-05:00,19.3125,19.3125,18.5625,18.5625,7.217103004455566,1703600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.78349640017223,0.0
50,2000-02-28 00:00:00-05:00,18.25,18.6875,18.03125,18.5,7.319979190826416,4631800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.550133418322734,0.0
51,2000-02-29 00:00:00-05:00,18.53125,18.59375,18.3125,18.34375,7.258155345916748,1404600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.33079097862769,0.0
52,2000-03-01 00:00:00-05:00,18.34375,18.34375,17.40625,18.03125,7.134506702423096,2080000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.09451080069538,0.0
