,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,33.9375,34.5625,33.875,34.5625,11.689326286315918,1216800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,34.75,34.75,34.0,34.0,11.499083518981934,589600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,33.75,34.1875,33.5625,33.75,11.414532661437988,1259500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,33.75,34.375,33.75,34.25,11.58363151550293,685900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,34.25,35.125,34.1875,35.0,11.837296485900879,825000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,34.8125,34.8125,34.5625,34.625,11.710463523864746,647900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,34.875,35.25,34.8125,35.125,11.879568099975586,175400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,35.1875,35.375,35.125,35.1875,11.900705337524414,435600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,35.125,35.4375,35.125,35.125,11.879568099975586,506000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,35.1875,35.1875,34.75,34.75,11.752739906311035,381800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6375,1.0
10,1999-12-30 00:00:00-05:00,34.75,35.0,34.75,34.875,11.795015335083008,413400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.68068181818182,1.0
11,1999-12-31 00:00:00-05:00,34.9375,34.9375,34.5,34.5,11.66818618774414,105000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6478305785124,0.0
12,2000-01-03 00:00:00-05:00,34.375,34.4375,33.75,33.75,11.414532661437988,581900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.48458865514651,0.0
13,2000-01-04 00:00:00-05:00,33.5625,34.3125,33.5625,34.1875,11.562496185302734,602400,0,0,0,0,0,0,0,100,0,0,0,0,0,0,34.43057253602896,0.0
14,2000-01-05 00:00:00-05:00,34.375,35.875,34.375,35.75,12.090950965881348,817800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.67046843856915,1.0
15,2000-01-06 00:00:00-05:00,35.25,35.875,35.0625,35.8125,12.112089157104492,680900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.87811054064749,1.0
16,2000-01-07 00:00:00-05:00,35.8125,36.1875,35.625,36.0625,12.196642875671387,391100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09345407871158,1.0
17,2000-01-10 00:00:00-05:00,36.125,36.125,35.0,35.125,11.879568099975586,481700,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,35.09918970076402,1.0
