,Date,Open,High,Low,Close,Adj Close,Volume,CDL3BLACKCROWS,CDLEVENINGSTAR,CDLTASUKIGAP,CDLINVERTEDHAMMER,CDLMATCHINGLOW,CDLABANDONEDBABY,CDLMORNINGSTAR,CDLPIERCING,CDLSTICKSANDWICH,CDLTHRUSTING,CDLGRAVESTONEDOJI,CDLDRAGONFLYDOJI,CDLHAMMER,CDLENGULFING,EMA,Trend
0,1999-12-15 00:00:00-05:00,13.859793663024902,14.356149673461914,13.821613311767578,14.31796932220459,4.804449558258057,3255197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
1,1999-12-16 00:00:00-05:00,14.27978801727295,14.31796932220459,14.127062797546387,14.127062797546387,4.740390300750732,2415616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2,1999-12-17 00:00:00-05:00,14.127062797546387,14.432513236999512,14.08888053894043,14.394330978393555,4.830074310302734,4293829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
3,1999-12-20 00:00:00-05:00,14.241605758666992,14.27978801727295,14.127062797546387,14.193880081176758,4.762811660766602,3019316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
4,1999-12-21 00:00:00-05:00,14.08888053894043,14.585238456726074,14.08888053894043,14.203425407409668,4.76601505279541,2016369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
5,1999-12-22 00:00:00-05:00,14.241605758666992,14.508874893188477,14.203425407409668,14.394330978393555,4.830074310302734,1295302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
6,1999-12-23 00:00:00-05:00,14.508874893188477,14.661600112915039,14.470693588256836,14.547056198120117,4.881320953369141,1320674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1999-12-27 00:00:00-05:00,14.547056198120117,14.776144027709961,14.432513236999512,14.432513236999512,4.8428874015808105,1612211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
8,1999-12-28 00:00:00-05:00,14.508874893188477,14.661600112915039,14.508874893188477,14.508874893188477,4.8685102462768555,1584875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
9,1999-12-29 00:00:00-05:00,14.547056198120117,14.623418807983398,14.31796932220459,14.31796932220459,4.804449558258057,1485186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.343741321563721,0.0
10,1999-12-30 00:00:00-05:00,14.356149673461914,14.508874893188477,14.241605758666992,14.470693588256836,4.855698108673096,1543460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36682355187156,1.0
11,1999-12-31 00:00:00-05:00,14.394330978393555,14.470693588256836,14.31796932220459,14.356149673461914,4.817262172698975,883287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.36488284670617,0.0
12,2000-01-03 00:00:00-05:00,14.08888053894043,14.241605758666992,13.897974967956543,13.897974967956543,4.663522243499756,3706335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.279990505115329,0.0
13,2000-01-04 00:00:00-05:00,13.821613311767578,14.127062797546387,13.821613311767578,14.050700187683105,4.714766502380371,2302341,0,0,0,0,0,0,0,100,0,0,0,0,0,0,14.238301356491288,0.0
14,2000-01-05 00:00:00-05:00,14.127062797546387,14.890687942504883,14.127062797546387,14.776144027709961,4.958194732666016,3067605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.336090933076502,1.0
15,2000-01-06 00:00:00-05:00,14.928869247436523,15.081594467163086,14.776144027709961,14.814325332641602,4.971007823944092,2570633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.423042642088339,1.0
16,2000-01-07 00:00:00-05:00,15.005230903625488,15.15795612335205,14.928869247436523,15.081594467163086,5.06068754196167,2744312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.542779337556475,1.0
17,2000-01-10 00:00:00-05:00,15.005230903625488,15.15795612335205,14.890687942504883,14.967049598693848,5.022253036499023,1778196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.619919385035997,1.0
